job,marital,education,contact,month,poutcome,y,balanceSummary,ageBand,defaultValue,housingVal,loanVal
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,tertiary,cellular,jun,other,yes,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
admin.,married,secondary,telephone,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,married,secondary,telephone,feb,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
self-employed,single,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
retired,single,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
technician,divorced,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanYes
blue-collar,married,primary,telephone,jul,unknown,no,veryNegative,ageBand4,defaultNo,houseNo,loanYes
retired,married,secondary,cellular,oct,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
services,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,married,secondary,cellular,oct,unknown,no,veryPositive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,divorced,secondary,cellular,may,failure,no,positive,ageBand5,defaultNo,houseYes,loanNo
services,married,secondary,cellular,jan,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,jul,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
management,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanYes
technician,single,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,jul,success,yes,positive,ageBand3,defaultNo,houseNo,loanNo
entrepreneur,divorced,tertiary,unknown,may,unknown,no,positive,ageBand4,defaultYes,houseYes,loanNo
management,single,tertiary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,married,tertiary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
retired,married,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,divorced,tertiary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,divorced,secondary,cellular,may,other,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanYes
blue-collar,divorced,primary,cellular,feb,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
unemployed,married,secondary,cellular,nov,failure,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,divorced,secondary,cellular,jul,unknown,yes,positive,ageBand2,defaultNo,houseYes,loanNo
retired,married,primary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
admin.,single,secondary,cellular,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanYes
services,married,secondary,telephone,jul,failure,yes,positive,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,jun,unknown,yes,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,primary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
technician,single,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanYes
blue-collar,single,primary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,apr,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,primary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,single,secondary,cellular,may,unknown,yes,negative,ageBand2,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,aug,unknown,no,veryPositive,ageBand5,defaultNo,houseNo,loanNo
unknown,single,tertiary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,married,tertiary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,single,tertiary,cellular,oct,failure,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,divorced,secondary,cellular,feb,success,no,positive,ageBand3,defaultNo,houseNo,loanNo
unemployed,single,primary,cellular,feb,unknown,yes,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,telephone,nov,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
services,single,primary,telephone,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,single,secondary,unknown,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,apr,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
self-employed,married,tertiary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
unemployed,married,primary,cellular,apr,unknown,yes,positive,ageBand5,defaultNo,houseNo,loanNo
housemaid,married,primary,cellular,jul,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
student,single,secondary,cellular,jun,success,yes,positive,ageBand1,defaultNo,houseNo,loanNo
management,married,tertiary,telephone,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
self-employed,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
blue-collar,single,secondary,cellular,jan,failure,no,positive,ageBand3,defaultNo,houseNo,loanNo
student,single,secondary,telephone,aug,unknown,yes,positive,ageBand2,defaultNo,houseNo,loanNo
technician,single,secondary,cellular,nov,unknown,yes,positive,ageBand2,defaultNo,houseNo,loanYes
services,married,secondary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,single,secondary,cellular,aug,unknown,no,positive,ageBand1,defaultNo,houseNo,loanYes
blue-collar,married,primary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,divorced,tertiary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,divorced,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
technician,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,negative,ageBand3,defaultNo,houseNo,loanYes
management,single,tertiary,cellular,may,failure,no,negative,ageBand5,defaultYes,houseYes,loanNo
self-employed,single,tertiary,cellular,aug,unknown,yes,positive,ageBand3,defaultNo,houseNo,loanNo
unemployed,single,secondary,unknown,sep,unknown,no,positive,ageBand1,defaultNo,houseNo,loanNo
technician,single,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanYes
blue-collar,single,secondary,telephone,feb,failure,no,positive,ageBand3,defaultNo,houseNo,loanNo
retired,divorced,tertiary,cellular,apr,unknown,yes,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,nov,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,primary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,unknown,unknown,may,unknown,no,veryNegative,ageBand4,defaultYes,houseYes,loanNo
admin.,married,unknown,cellular,may,failure,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,single,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,single,secondary,cellular,may,failure,no,positive,ageBand2,defaultNo,houseYes,loanYes
management,single,tertiary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,feb,unknown,yes,veryNegative,ageBand5,defaultNo,houseYes,loanNo
management,married,unknown,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
management,divorced,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,divorced,unknown,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
retired,married,primary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
technician,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,jan,other,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,single,unknown,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
entrepreneur,married,unknown,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
unemployed,divorced,primary,unknown,jul,unknown,no,negative,ageBand4,defaultYes,houseYes,loanYes
entrepreneur,married,secondary,cellular,feb,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,divorced,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,married,secondary,cellular,jun,success,yes,positive,ageBand5,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,jan,failure,no,positive,ageBand5,defaultNo,houseYes,loanNo
self-employed,single,secondary,cellular,jan,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,apr,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,tertiary,unknown,oct,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,single,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
admin.,single,secondary,unknown,may,unknown,no,negative,ageBand4,defaultNo,houseNo,loanYes
services,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
management,single,tertiary,cellular,oct,failure,yes,positive,ageBand2,defaultNo,houseNo,loanNo
admin.,single,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
housemaid,married,secondary,telephone,mar,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,divorced,secondary,cellular,jan,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,tertiary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,single,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
technician,married,secondary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,jan,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,single,secondary,cellular,apr,other,no,positive,ageBand4,defaultNo,houseYes,loanYes
admin.,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,nov,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,married,secondary,cellular,jul,unknown,no,negative,ageBand4,defaultNo,houseYes,loanYes
admin.,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
admin.,married,secondary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
unknown,married,unknown,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,married,tertiary,cellular,nov,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,tertiary,cellular,feb,unknown,no,positive,ageBand2,defaultNo,houseYes,loanYes
services,single,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
admin.,single,secondary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,divorced,secondary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
services,married,secondary,unknown,jun,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
self-employed,married,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,tertiary,telephone,nov,success,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,single,secondary,cellular,feb,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
retired,married,secondary,cellular,jun,unknown,yes,veryNegative,ageBand5,defaultNo,houseYes,loanNo
blue-collar,married,primary,telephone,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
self-employed,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
services,married,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
student,single,secondary,cellular,jun,unknown,no,positive,ageBand1,defaultNo,houseNo,loanNo
retired,divorced,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,single,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
services,married,secondary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
technician,married,tertiary,cellular,apr,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
retired,married,secondary,telephone,apr,success,yes,positive,ageBand5,defaultNo,houseNo,loanNo
technician,single,tertiary,cellular,may,success,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
technician,single,tertiary,cellular,aug,failure,yes,positive,ageBand3,defaultNo,houseYes,loanNo
management,divorced,tertiary,cellular,nov,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,single,tertiary,telephone,apr,unknown,yes,positive,ageBand2,defaultNo,houseNo,loanNo
technician,single,tertiary,cellular,nov,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
technician,married,secondary,cellular,jul,failure,no,positive,ageBand2,defaultNo,houseYes,loanNo
services,single,secondary,cellular,feb,failure,no,negative,ageBand3,defaultNo,houseYes,loanNo
retired,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,single,secondary,unknown,jun,unknown,no,negative,ageBand2,defaultNo,houseYes,loanNo
technician,married,tertiary,cellular,may,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
self-employed,married,secondary,cellular,nov,unknown,no,veryPositive,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,aug,unknown,no,negative,ageBand3,defaultYes,houseNo,loanNo
management,married,tertiary,cellular,aug,unknown,yes,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,telephone,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
services,married,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
retired,married,tertiary,cellular,jul,unknown,no,negative,ageBand5,defaultNo,houseYes,loanNo
technician,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
self-employed,married,primary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,married,primary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
services,single,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,may,unknown,no,negative,ageBand3,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,apr,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,tertiary,cellular,sep,other,no,positive,ageBand3,defaultNo,houseYes,loanYes
unknown,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
entrepreneur,married,tertiary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
technician,single,secondary,cellular,may,failure,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,single,secondary,cellular,jul,success,no,positive,ageBand4,defaultNo,houseYes,loanNo
student,single,secondary,cellular,jan,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,divorced,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultYes,houseNo,loanNo
blue-collar,married,secondary,cellular,apr,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,unknown,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
housemaid,married,primary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
unemployed,married,tertiary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
admin.,single,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
self-employed,married,tertiary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,married,secondary,unknown,jun,unknown,no,negative,ageBand2,defaultNo,houseYes,loanYes
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,jan,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,secondary,unknown,may,unknown,no,negative,ageBand4,defaultNo,houseYes,loanNo
unemployed,single,secondary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,may,failure,no,positive,ageBand4,defaultNo,houseNo,loanYes
management,married,tertiary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,divorced,primary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
retired,married,primary,cellular,feb,failure,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanYes
management,married,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
unemployed,single,secondary,cellular,aug,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
technician,divorced,tertiary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,single,secondary,cellular,jul,unknown,yes,positive,ageBand2,defaultNo,houseNo,loanYes
housemaid,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanYes
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,single,tertiary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
entrepreneur,married,tertiary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
technician,married,tertiary,cellular,aug,failure,no,positive,ageBand5,defaultNo,houseNo,loanNo
self-employed,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
student,single,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
technician,married,tertiary,cellular,jul,unknown,no,veryNegative,ageBand3,defaultNo,houseYes,loanYes
admin.,single,secondary,telephone,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,divorced,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
services,married,secondary,cellular,jun,failure,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,single,secondary,cellular,may,unknown,yes,positive,ageBand1,defaultNo,houseYes,loanYes
management,married,secondary,unknown,jun,unknown,no,veryPositive,ageBand4,defaultNo,houseNo,loanNo
self-employed,married,secondary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,single,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
housemaid,married,tertiary,cellular,aug,failure,no,veryPositive,ageBand3,defaultNo,houseNo,loanNo
technician,single,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,divorced,primary,cellular,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
self-employed,married,tertiary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,apr,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,single,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,divorced,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
student,married,secondary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
technician,single,tertiary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
admin.,married,secondary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
self-employed,married,secondary,unknown,may,unknown,no,negative,ageBand2,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,married,tertiary,cellular,aug,success,yes,positive,ageBand3,defaultNo,houseNo,loanYes
