ZIP5,AFFGEOID10,GEOID10,ALAND10,AWATER10
27825,8600000US27825,27825,1213908,0
28611,8600000US28611,28611,192642041,0
28089,8600000US28089,28089,642770,0
58205,8600000US58205,58205,417527,0
43084,8600000US43084,43084,55873705,66986
44493,8600000US44493,44493,648867,0
44233,8600000US44233,44233,69162840,360814
43203,8600000US43203,43203,3829119,0
44671,8600000US44671,44671,2083710,0
43330,8600000US43330,43330,279091,0
01236,8600000US01236,1236,12442179,157973
01003,8600000US01003,1003,1842385,12788
49861,8600000US49861,49861,508620259,36494179
48625,8600000US48625,48625,622638730,9505929
48233,8600000US48233,48233,48551,0
48091,8600000US48091,48091,20687896,0
49948,8600000US49948,49948,344278674,1196974
55029,8600000US55029,55029,189730,0
56467,8600000US56467,56467,315398166,42070915
56639,8600000US56639,56639,781997142,13294888
56671,8600000US56671,56671,571578949,16404133
56001,8600000US56001,56001,296649935,3959370
56313,8600000US56313,56313,374023,0
39140,8600000US39140,39140,253597302,1683988
39759,8600000US39759,39759,840470490,7547574
38920,8600000US38920,38920,146289717,821297
39170,8600000US39170,39170,257594069,1330749
39069,8600000US39069,39069,456627395,206590
38945,8600000US38945,38945,45585655,517680
39332,8600000US39332,39332,185047238,410662
64093,8600000US64093,64093,484204028,1794573
90301,8600000US90301,90301,6416791,0
95545,8600000US95545,95545,124172425,0
80023,8600000US80023,80023,45593242,538763
81227,8600000US81227,81227,951853,0
80515,8600000US80515,80515,157001278,381607
06412,8600000US06412,6412,41573118,2010913
06481,8600000US06481,6481,4655716,43125
19716,8600000US19716,19716,136115,0
34488,8600000US34488,34488,248517452,23672554
34202,8600000US34202,34202,61587015,292615
62982,8600000US62982,62982,20175875,1552872
47708,8600000US47708,47708,1435636,5765
51243,8600000US51243,51243,139202026,36358
30660,8600000US30660,30660,259544244,611127
41073,8600000US41073,41073,2430131,493999
70357,8600000US70357,70357,547796669,644593219
71254,8600000US71254,71254,680907720,28759500
42464,8600000US42464,42464,158082090,4724356
41083,8600000US41083,41083,88943841,1476043
40444,8600000US40444,40444,410580399,9818111
41035,8600000US41035,41035,275755453,3692835
40057,8600000US40057,40057,252979993,2356099
41612,8600000US41612,41612,920025,0
40025,8600000US40025,40025,426850,0
40313,8600000US40313,40313,98605073,1836076
41725,8600000US41725,41725,3525455,0
40144,8600000US40144,40144,163617592,1383042
71360,8600000US71360,71360,507697285,26492462
71268,8600000US71268,71268,329510615,480705
70575,8600000US70575,70575,84005,0
71479,8600000US71479,71479,244703190,281919
04039,8600000US04039,4039,105285397,2425308
04622,8600000US04622,4622,666251486,18896478
04354,8600000US04354,4354,105047926,7796255
04975,8600000US04975,4975,142318,0
04920,8600000US04920,4920,658198222,27512659
20899,8600000US20899,20899,204571,0
21717,8600000US21717,21717,944626,10584
64125,8600000US64125,64125,4275798,92389
63653,8600000US63653,63653,3745765,0
64066,8600000US64066,64066,4281439,24736
65556,8600000US65556,65556,588381483,3712181
65623,8600000US65623,65623,45406,0
65612,8600000US65612,65612,91798374,90546
59456,8600000US59456,59456,970108940,52164340
59054,8600000US59054,59054,1676617696,1270225
59735,8600000US59735,59735,449973242,1912417
59834,8600000US59834,59834,190465978,1348624
68137,8600000US68137,68137,21469035,110581
69333,8600000US69333,69333,1504340235,16981621
68841,8600000US68841,68841,168920029,373279
68304,8600000US68304,68304,57003041,44174
03280,8600000US03280,3280,117938687,5586513
03753,8600000US03753,3753,70240588,2264509
07621,8600000US07621,7621,7277468,21498
08740,8600000US08740,8740,1146169,781290
16244,8600000US16244,16244,3123146,0
15422,8600000US15422,15422,234243,0
18444,8600000US18444,18444,303390592,4282446
17576,8600000US17576,17576,132304,9059
15049,8600000US15049,15049,1116541,0
19102,8600000US19102,19102,489123,0
18617,8600000US18617,18617,15681771,422288
29108,8600000US29108,29108,539333093,4701284
29030,8600000US29030,29030,235079192,10288162
29483,8600000US29483,29483,350319972,411772
29591,8600000US29591,29591,187607100,100371
29117,8600000US29117,29117,230353,0
29368,8600000US29368,29368,413662,0
57422,8600000US57422,57422,285959491,1285561
57054,8600000US57054,57054,298605433,957422
37066,8600000US37066,37066,296571031,15770388
38301,8600000US38301,38301,427555600,617738
37174,8600000US37174,37174,177635552,219653
60129,8600000US60129,60129,44329894,0
61839,8600000US61839,61839,86254139,0
61049,8600000US61049,61049,52837160,52054
60144,8600000US60144,60144,106763,0
60302,8600000US60302,60302,7798364,0
60472,8600000US60472,60472,4284951,154322
47421,8600000US47421,47421,473263673,3656576
47916,8600000US47916,47916,160082,0
47860,8600000US47860,47860,1720766,0
46961,8600000US46961,46961,1254220,0
47281,8600000US47281,47281,144775413,1903573
50230,8600000US50230,50230,223891628,90499
50227,8600000US50227,50227,966375,0
50551,8600000US50551,50551,69715732,0
50105,8600000US50105,50105,20560448,0
52033,8600000US52033,52033,252534641,0
50559,8600000US50559,50559,102790940,0
51230,8600000US51230,51230,64875514,0
67747,8600000US67747,67747,323259552,0
66621,8600000US66621,66621,646631,0
67457,8600000US67457,67457,240160639,105525
40372,8600000US40372,40372,139216553,3110222
99109,8600000US99109,99109,725556205,348807
99166,8600000US99166,99166,1520802408,4183445
98304,8600000US98304,98304,890510652,10512605
98830,8600000US98830,98830,1167014043,7161977
26405,8600000US26405,26405,136765793,1418270
26554,8600000US26554,26554,350408632,5503500
25271,8600000US25271,25271,252965994,1472056
98638,8600000US98638,98638,437350428,47879594
24844,8600000US24844,24844,146436321,792787
24845,8600000US24845,24845,8626821,0
24736,8600000US24736,24736,74038261,28851
26250,8600000US26250,26250,227795525,818728
54521,8600000US54521,54521,588212788,81310775
24847,8600000US24847,24847,4626831,51382
54985,8600000US54985,54985,261912,0
83116,8600000US83116,83116,4021367,8101
26151,8600000US26151,26151,63490303,517138
98305,8600000US98305,98305,310452900,2764632
24656,8600000US24656,24656,176934548,207746
00830,8600000US00830,830,50005936,372698
19731,8600000US19731,19731,2482507,241633
46376,8600000US46376,46376,23319088,69873
54896,8600000US54896,54896,1121125935,18789425
33404,8600000US33404,33404,19394308,6326057
35548,8600000US35548,35548,168545521,256180
36775,8600000US36775,36775,240380440,3747209
71651,8600000US71651,71651,217884793,4572774
53504,8600000US53504,53504,236309921,2052068
03101,8600000US03101,3101,2004378,301998
21802,8600000US21802,21802,136026,0
02141,8600000US02141,2141,1667393,26516
66019,8600000US66019,66019,111003,0
61315,8600000US61315,61315,3727778,171166
46987,8600000US46987,46987,1415972,8892
48083,8600000US48083,48083,22373313,0
04490,8600000US04490,4490,683737540,38132735
06059,8600000US06059,6059,7586414,2909195
80290,8600000US80290,80290,19489,0
99124,8600000US99124,99124,495547,0
05747,8600000US05747,5747,131031211,249741
76483,8600000US76483,76483,1646654011,5417172
88134,8600000US88134,88134,683435470,204190
07702,8600000US07702,7702,5596874,82459
17083,8600000US17083,17083,92567,0
84629,8600000US84629,84629,672120810,561188
19103,8600000US19103,19103,1655023,35179
15015,8600000US15015,15015,2423450,0
17250,8600000US17250,17250,22722,0
43970,8600000US43970,43970,461386,0
43529,8600000US43529,43529,1860443,0
12307,8600000US12307,12307,1834855,11575
36522,8600000US36522,36522,570073505,3268775
30165,8600000US30165,30165,430156138,10535043
85922,8600000US85922,85922,1011071896,788321
85620,8600000US85620,85620,2765050,0
84531,8600000US84531,84531,1475014832,5764278
96120,8600000US96120,96120,545610021,1453347
82063,8600000US82063,82063,996714305,2205063
93643,8600000US93643,93643,322495748,1279795
96080,8600000US96080,96080,1585345523,8208455
95458,8600000US95458,95458,126891456,61132
74578,8600000US74578,74578,859977454,6291293
97624,8600000US97624,97624,1178124644,45056108
97343,8600000US97343,97343,390600375,86579
97148,8600000US97148,97148,195368579,198306
16616,8600000US16616,16616,5918788,18327
97123,8600000US97123,97123,139126593,119805
97424,8600000US97424,97424,596245169,9877789
17756,8600000US17756,17756,291198091,4115394
97758,8600000US97758,97758,1503084782,365404
97494,8600000US97494,97494,2427984,0
19442,8600000US19442,19442,51079,0
17887,8600000US17887,17887,2920319,50989
15078,8600000US15078,15078,1895633,0
15737,8600000US15737,15737,457987,0
15546,8600000US15546,15546,1998152,0
18428,8600000US18428,18428,430061754,13254435
18814,8600000US18814,18814,1511365,37247
17041,8600000US17041,17041,1457661,0
85019,8600000US85019,85019,9712661,16769
71665,8600000US71665,71665,729408134,1613178
71671,8600000US71671,71671,477916450,1554961
71998,8600000US71998,71998,93585,0
72476,8600000US72476,72476,517085954,871557
71837,8600000US71837,71837,412353147,5566272
71763,8600000US71763,71763,583726160,2055899
71858,8600000US71858,71858,518262334,1182940
93254,8600000US93254,93254,353708974,2475878
20520,8600000US20520,20520,83729,0
20427,8600000US20427,20427,16368,0
32714,8600000US32714,32714,22160682,1073972
32134,8600000US32134,32134,622812891,68283592
33498,8600000US33498,33498,19209920,0
31021,8600000US31021,31021,620124444,7481896
30521,8600000US30521,30521,244752600,2320625
31804,8600000US31804,31804,136316933,651517
30252,8600000US30252,30252,236400875,3172383
39842,8600000US39842,39842,734175414,4249445
30474,8600000US30474,30474,361251738,4398541
95835,8600000US95835,95835,23131552,207118
93203,8600000US93203,93203,556194471,256274
95364,8600000US95364,95364,704404684,11429142
91203,8600000US91203,91203,2119995,7369
95363,8600000US95363,95363,305162606,1236641
93665,8600000US93665,93665,2178983,0
90071,8600000US90071,90071,319156,0
95724,8600000US95724,95724,3088651,0
80302,8600000US80302,80302,214078522,865115
80746,8600000US80746,80746,686833,0
81223,8600000US81223,81223,1032977959,25758
81243,8600000US81243,81243,866023201,548211
80218,8600000US80218,80218,4136530,0
19977,8600000US19977,19977,215390429,14404487
20202,8600000US20202,20202,18721,0
34681,8600000US34681,34681,1460167,347040
32097,8600000US32097,32097,344088514,26145285
30513,8600000US30513,30513,384760125,6280409
31318,8600000US31318,31318,3518203,0
31780,8600000US31780,31780,258455325,1926751
30326,8600000US30326,30326,1791719,0
30293,8600000US30293,30293,208501709,2777081
96786,8600000US96786,96786,212344906,1100622
83244,8600000US83244,83244,2174402920,2426762
83544,8600000US83544,83544,610054613,24769783
83218,8600000US83218,83218,1046902,0
83467,8600000US83467,83467,1962842990,5640217
62089,8600000US62089,62089,1973314,86121
61243,8600000US61243,61243,70557878,0
62987,8600000US62987,62987,212208590,4507156
60171,8600000US60171,60171,5847501,0
60643,8600000US60643,60643,19029085,32576
62865,8600000US62865,62865,141133561,2652613
61936,8600000US61936,61936,5812752,0
61039,8600000US61039,61039,72450037,0
47457,8600000US47457,47457,1492654,0
47337,8600000US47337,47337,477786,0
46183,8600000US46183,46183,80064,0
46068,8600000US46068,46068,117251738,0
47836,8600000US47836,47836,509465,0
47683,8600000US47683,47683,477779,394
47969,8600000US47969,47969,473013,0
52060,8600000US52060,52060,408283851,1453024
51244,8600000US51244,51244,785771,0
50603,8600000US50603,50603,122972009,0
52647,8600000US52647,52647,911591,0
51036,8600000US51036,51036,114214638,14621
66216,8600000US66216,66216,20231060,162559
66728,8600000US66728,66728,3412313,0
67520,8600000US67520,67520,321820645,15416
40380,8600000US40380,40380,296223425,1363668
42431,8600000US42431,42431,431514537,15296948
41260,8600000US41260,41260,6571075,39146
40404,8600000US40404,40404,328153,0
42210,8600000US42210,42210,372917029,3338697
42411,8600000US42411,42411,225208437,1473935
40049,8600000US40049,40049,444132,9173
70549,8600000US70549,70549,304475578,19360650
70582,8600000US70582,70582,372258524,10095148
95441,8600000US95441,95441,263937111,4704473
94574,8600000US94574,94574,330686479,5409337
90621,8600000US90621,90621,10744536,41543
95485,8600000US95485,95485,271339024,2551482
93664,8600000US93664,93664,496531917,8850043
37338,8600000US37338,37338,195021395,199083
37374,8600000US37374,37374,209088478,34929
76597,8600000US76597,76597,1249212,0
37132,8600000US37132,37132,1315283,0
37246,8600000US37246,37246,61644,0
75752,8600000US75752,75752,383347876,10630830
78076,8600000US78076,78076,1237259166,107568824
79781,8600000US79781,79781,1735030838,64199
78653,8600000US78653,78653,271051052,1296973
77880,8600000US77880,77880,246933848,4888962
75779,8600000US75779,75779,2228474,9958
78014,8600000US78014,78014,2715396256,15786145
76305,8600000US76305,76305,567732843,2113591
75652,8600000US75652,75652,455086080,11199649
77575,8600000US77575,77575,619991214,17419213
76801,8600000US76801,76801,989152059,24730266
78058,8600000US78058,78058,1439405558,1589634
76877,8600000US76877,76877,1439402522,3638739
78881,8600000US78881,78881,634274609,3000805
75844,8600000US75844,75844,931365371,8290953
77954,8600000US77954,77954,958411358,1811764
78620,8600000US78620,78620,446535837,1027003
79731,8600000US79731,79731,853089061,218791
76148,8600000US76148,76148,12076595,2743
75929,8600000US75929,75929,343408649,116362727
75831,8600000US75831,75831,660839182,3481769
79081,8600000US79081,79081,1669557721,1036865
76676,8600000US76676,76676,55577860,303209
24153,8600000US24153,24153,272213576,1987004
84648,8600000US84648,84648,401615892,0
84751,8600000US84751,84751,774037853,211509
05056,8600000US05056,5056,110894437,1448431
05079,8600000US05079,5079,94507153,130036
05405,8600000US05405,5405,602941,0
22514,8600000US22514,22514,225432091,3129770
24483,8600000US24483,24483,186309463,312259
24013,8600000US24013,24013,5853655,121563
22845,8600000US22845,22845,3422513,3920
17885,8600000US17885,17885,28040623,402376
98045,8600000US98045,98045,872704018,15786436
99203,8600000US99203,99203,12120281,21837
26562,8600000US26562,26562,104074987,25063
26763,8600000US26763,26763,122123614,1454985
15027,8600000US15027,15027,3728900,473269
54143,8600000US54143,54143,175542252,15930494
97838,8600000US97838,97838,425979706,28240869
36766,8600000US36766,36766,20196275,0
35650,8600000US35650,35650,548023516,3420545
36784,8600000US36784,36784,701190701,1663590
35579,8600000US35579,35579,365940018,6972292
36268,8600000US36268,36268,243114573,3976110
99833,8600000US99833,99833,6908429832,1727544373
99701,8600000US99701,99701,11061127104,37199490
99654,8600000US99654,99654,1289918916,50331577
86520,8600000US86520,86520,645144762,152728
86326,8600000US86326,86326,140159050,0
85924,8600000US85924,85924,2027667782,2720953
29670,8600000US29670,29670,142933182,802824
57346,8600000US57346,57346,133847163,5887016
37324,8600000US37324,37324,186539047,470749
57236,8600000US57236,57236,127005258,578219
37377,8600000US37377,37377,193258487,168911
37315,8600000US37315,37315,297862,0
37725,8600000US37725,37725,247541918,48981999
38029,8600000US38029,38029,135610,0
38047,8600000US38047,38047,2496588,0
37770,8600000US37770,37770,308212666,0
70772,8600000US70772,70772,36597648,0
70128,8600000US70128,70128,12624648,2990401
70648,8600000US70648,70648,508751332,5054657
04450,8600000US04450,4450,43583367,0
04472,8600000US04472,4472,120956680,14141031
33432,8600000US33432,33432,11932614,3004570
83823,8600000US83823,83823,405520392,275950
46327,8600000US46327,46327,10740360,304098
61112,8600000US61112,61112,2021924,0
04851,8600000US04851,4851,6014601,19800154
60958,8600000US60958,60958,135177199,0
46799,8600000US46799,46799,641143,18214
20818,8600000US20818,20818,2639803,1122943
50314,8600000US50314,50314,6428718,238791
70517,8600000US70517,70517,362730734,19730274
40383,8600000US40383,40383,396528683,4361407
49878,8600000US49878,49878,1209817558,91655494
04739,8600000US04739,4739,583222962,19343867
38844,8600000US38844,38844,32914623,0
63775,8600000US63775,63775,903873913,10522394
01340,8600000US01340,1340,113406095,668423
49248,8600000US49248,49248,85157229,0
02343,8600000US02343,2343,18155761,279916
49780,8600000US49780,49780,775538243,8087204
07720,8600000US07720,7720,1577665,54205
87830,8600000US87830,87830,2142407812,984175
49722,8600000US49722,49722,1719396,552668
27053,8600000US27053,27053,175075272,1008523
65802,8600000US65802,65802,164699250,8728
65742,8600000US65742,65742,302433917,794152
58801,8600000US58801,58801,2154473065,90753249
07079,8600000US07079,7079,7381112,4806
07870,8600000US07870,7870,601577,0
03447,8600000US03447,3447,90649232,3622315
07723,8600000US07723,7723,4065824,351416
02873,8600000US02873,2873,7300847,436153
57754,8600000US57754,57754,610441997,4706
10605,8600000US10605,10605,13159994,24950
37738,8600000US37738,37738,543869325,0
11207,8600000US11207,11207,6920385,0
37620,8600000US37620,37620,330013984,24721380
79346,8600000US79346,79346,1000187370,0
75488,8600000US75488,75488,303044116,4072016
05488,8600000US05488,5488,167851935,4385214
57641,8600000US57641,57641,849555293,3089109
24605,8600000US24605,24605,124722179,116289
23310,8600000US23310,23310,155509811,24027795
24426,8600000US24426,24426,862115096,6774887
98422,8600000US98422,98422,17258890,303027
99114,8600000US99114,99114,1886375270,6503335
25514,8600000US25514,25514,180486609,1837058
28533,8600000US28533,28533,1150938,0
28032,8600000US28032,28032,6037219,451506
45142,8600000US45142,45142,164884523,388233
58368,8600000US58368,58368,1678445934,107301866
58622,8600000US58622,58622,1620564735,3583506
58007,8600000US58007,58007,126166967,0
43467,8600000US43467,43467,898187,0
43008,8600000US43008,43008,3859807,1135462
44615,8600000US44615,44615,372800998,2565500
45745,8600000US45745,45745,193006438,907992
44682,8600000US44682,44682,990654,0
44507,8600000US44507,44507,4503840,0
43142,8600000US43142,43142,182024,0
43736,8600000US43736,43736,267881,0
43750,8600000US43750,43750,2802063,7766
44011,8600000US44011,44011,53889975,150096
74016,8600000US74016,74016,387955551,895536
74003,8600000US74003,74003,315933972,2256017
74464,8600000US74464,74464,734453245,3860254
73441,8600000US73441,73441,9553245,0
97525,8600000US97525,97525,257208121,1465730
97064,8600000US97064,97064,253603358,130500
97355,8600000US97355,97355,540568872,3311536
97434,8600000US97434,97434,277174133,2053861
16617,8600000US16617,16617,4205261,25522
97886,8600000US97886,97886,368695565,187897
16340,8600000US16340,16340,249427208,0
17097,8600000US17097,17097,7807974,0
15557,8600000US15557,15557,235109884,297559
15420,8600000US15420,15420,1188538,0
16652,8600000US16652,16652,457911962,10494041
19559,8600000US19559,19559,731147,2519
18430,8600000US18430,18430,4607169,18050
15301,8600000US15301,15301,315753243,709775
17965,8600000US17965,17965,1846724,0
15901,8600000US15901,15901,3836793,140149
17829,8600000US17829,17829,2110442,0
19564,8600000US19564,19564,534289,0
15077,8600000US15077,15077,2918590,273444
17920,8600000US17920,17920,11510673,76980
17822,8600000US17822,17822,191018,0
19107,8600000US19107,19107,1422760,0
02876,8600000US02876,2876,328105,383006
29646,8600000US29646,29646,291603048,3364311
29003,8600000US29003,29003,364953609,2962924
29014,8600000US29014,29014,426284230,363176
29135,8600000US29135,29135,498173580,3880475
10456,8600000US10456,10456,2635671,0
13343,8600000US13343,13343,145505920,2471472
14456,8600000US14456,14456,202040602,453560
11417,8600000US11417,11417,2898418,0
13440,8600000US13440,13440,292379937,3609772
13856,8600000US13856,13856,479451542,11973411
11104,8600000US11104,11104,1005110,0
10024,8600000US10024,10024,2222641,0
12456,8600000US12456,12456,1399183,52824
10535,8600000US10535,10535,1255960,154348
11212,8600000US11212,11212,3985437,0
11694,8600000US11694,11694,3460879,1189
11415,8600000US11415,11415,1465823,0
28777,8600000US28777,28777,176662456,134197
27827,8600000US27827,27827,247835,0
27891,8600000US27891,27891,366247705,580126
28465,8600000US28465,28465,27410254,8732426
38053,8600000US38053,38053,456895048,29529203
37727,8600000US37727,37727,291561218,2276608
11209,8600000US11209,11209,5496342,0
37148,8600000US37148,37148,353992902,490590
10703,8600000US10703,10703,4524413,0
79714,8600000US79714,79714,1990006624,101667
75551,8600000US75551,75551,427469653,17982672
78851,8600000US78851,78851,1154405368,40865
28607,8600000US28607,28607,256366775,799663
58239,8600000US58239,58239,235012693,5446300
98244,8600000US98244,98244,1264704056,12843976
99141,8600000US99141,99141,1372025159,70461828
26836,8600000US26836,26836,500417488,3107148
86054,8600000US86054,86054,1080990777,260121
82835,8600000US82835,82835,1311191234,1493719
35654,8600000US35654,35654,368131426,1456200
35242,8600000US35242,35242,136980788,6964385
02139,8600000US02139,2139,4034615,347794
63853,8600000US63853,63853,4030270,0
70139,8600000US70139,70139,12861,0
47654,8600000US47654,47654,276344,0
50673,8600000US50673,50673,444168,0
02180,8600000US02180,2180,15578795,1632658
04952,8600000US04952,4952,78207323,2822701
01199,8600000US01199,1199,28277,0
92662,8600000US92662,92662,539404,519218
99174,8600000US99174,99174,348103,0
24577,8600000US24577,24577,497249368,2863310
07662,8600000US07662,7662,2609018,119518
88028,8600000US88028,88028,338773993,0
11360,8600000US11360,11360,3609051,0
14854,8600000US14854,14854,58950,0
87025,8600000US87025,87025,897011224,210684
16253,8600000US16253,16253,547157,0
84329,8600000US84329,84329,1245897999,46681
15715,8600000US15715,15715,1750895,49531
38562,8600000US38562,38562,355005317,22693668
04068,8600000US04068,4068,81978636,3479820
04750,8600000US04750,4750,203043164,1452547
03579,8600000US03579,3579,1422590645,83245458
50272,8600000US50272,50272,1922108,0
21871,8600000US21871,21871,175568004,17958886
46814,8600000US46814,46814,44109343,50759
02647,8600000US02647,2647,1226878,477502
48081,8600000US48081,48081,10184222,3446633
04654,8600000US04654,4654,259113301,34973887
55605,8600000US55605,55605,186371800,26715386
20812,8600000US20812,20812,493979,371048
59917,8600000US59917,59917,669310448,4986351
59761,8600000US59761,59761,2229755938,4058518
59313,8600000US59313,59313,2400290488,4568537
59724,8600000US59724,59724,1514993511,89141
03832,8600000US03832,3832,64655148,3501368
08751,8600000US08751,8751,3396898,4438579
07756,8600000US07756,7756,960618,143857
88256,8600000US88256,88256,1264613681,15458516
48440,8600000US48440,48440,1749123,0
13064,8600000US13064,13064,461933,2948339
55041,8600000US55041,55041,379714330,31344927
27983,8600000US27983,27983,861119894,62675476
45898,8600000US45898,45898,87734246,409551
73560,8600000US73560,73560,346745116,405416
73932,8600000US73932,73932,1439626559,609883
07846,8600000US07846,7846,355296,0
29720,8600000US29720,29720,734528439,10686568
29512,8600000US29512,29512,561324900,7141321
20762,8600000US20762,20762,15260553,6924
01532,8600000US01532,1532,47840785,705398
01719,8600000US01719,1719,26638827,317226
48322,8600000US48322,48322,30449914,172676
48014,8600000US48014,48014,94767079,536631
48614,8600000US48614,48614,91855139,573057
48034,8600000US48034,48034,11165094,0
49938,8600000US49938,49938,616006654,54795293
49879,8600000US49879,49879,365887791,20111508
56470,8600000US56470,56470,1012900931,94850582
56162,8600000US56162,56162,59474181,0
56082,8600000US56082,56082,321226129,6203745
55723,8600000US55723,55723,1360003789,60557272
55055,8600000US55055,55055,9175139,643557
56676,8600000US56676,56676,528691513,24028357
56369,8600000US56369,56369,2430741,0
38632,8600000US38632,38632,439713269,29899842
39116,8600000US39116,39116,221691059,368873
39090,8600000US39090,39090,687101992,1992812
39094,8600000US39094,39094,424384645,2788373
39633,8600000US39633,39633,328910109,1832727
63650,8600000US63650,63650,285882900,1526784
65706,8600000US65706,65706,465332373,1092762
65041,8600000US65041,65041,608275063,9823430
63041,8600000US63041,63041,35740653,109670
64109,8600000US64109,64109,5365658,4529
63084,8600000US63084,63084,194507578,173941
63117,8600000US63117,63117,6082073,0
65254,8600000US65254,65254,274346555,9717357
