Date,24 hr New Snow,Season Snowfall Total,Base Depth
16-Dec-16,18 cm,473 cm,61 cm
17-Dec-16,36 cm,509 cm,89 cm
18-Dec-16,25 cm,534 cm,104 cm
22-Dec-16,5 cm,539 cm,86 cm
23-Dec-16,13 cm,552 cm,97 cm
25-Dec-16,28 cm,580 cm,109 cm
26-Dec-16,3 cm,583 cm,104 cm
2-Jan-15,15 cm,15 cm,117 cm
3-Jan-15,3 cm,18 cm,112 cm
4-Jan-15,3 cm,21 cm,112 cm
12-Jan-15,5 cm,26 cm,107 cm
13-Jan-15,5 cm,31 cm,107 cm
14-Jan-15,8 cm,39 cm,114 cm
20-Jan-15,5 cm,44 cm,109 cm
30-Jan-15,3 cm,47 cm,107 cm
31-Jan-15,3 cm,50 cm,109 cm
1-Feb-15,5 cm,55 cm,112 cm
3-Feb-15,3 cm,58 cm,112 cm
17-Feb-15,5 cm,63 cm,112 cm
22-Feb-15,5 cm,68 cm,112 cm
23-Feb-15,41 cm,109 cm,145 cm
24-Feb-15,28 cm,137 cm,165 cm
26-Feb-15,10 cm,147 cm,160 cm
27-Feb-15,5 cm,152 cm,157 cm
28-Feb-15,5 cm,157 cm,160 cm
1-Mar-15,33 cm,190 cm,175 cm
2-Mar-15,20 cm,210 cm,190 cm
3-Mar-15,10 cm,220 cm,183 cm
4-Mar-15,10 cm,230 cm,188 cm
19-Mar-15,5 cm,235 cm,160 cm
17-Nov-15,36 cm,271 cm,0 cm
26-Nov-15,3 cm,274 cm,71 cm
28-Nov-15,3 cm,277 cm,69 cm
30-Nov-15,8 cm,285 cm,76 cm
5-Dec-15,8 cm,293 cm,76 cm
6-Dec-15,5 cm,298 cm,84 cm
12-Dec-15,20 cm,318 cm,89 cm
13-Dec-15,5 cm,323 cm,91 cm
15-Dec-15,10 cm,333 cm,94 cm
16-Dec-15,10 cm,343 cm,97 cm
17-Dec-15,8 cm,351 cm,99 cm
20-Dec-15,10 cm,361 cm,104 cm
21-Dec-15,5 cm,366 cm,104 cm
22-Dec-15,13 cm,379 cm,112 cm
23-Dec-15,28 cm,407 cm,130 cm
24-Dec-15,15 cm,422 cm,135 cm
25-Dec-15,38 cm,460 cm,142 cm
26-Dec-15,20 cm,480 cm,150 cm
30-Dec-15,10 cm,490 cm,135 cm
31-Dec-15,3 cm,493 cm,132 cm
1-Jan-14,5 cm,5 cm,107 cm
5-Jan-14,10 cm,15 cm,117 cm
9-Jan-14,5 cm,20 cm,114 cm
10-Jan-14,10 cm,30 cm,124 cm
11-Jan-14,10 cm,40 cm,127 cm
13-Jan-14,23 cm,63 cm,140 cm
31-Jan-14,20 cm,83 cm,135 cm
1-Feb-14,38 cm,121 cm,160 cm
2-Feb-14,10 cm,131 cm,160 cm
4-Feb-14,20 cm,151 cm,170 cm
5-Feb-14,13 cm,164 cm,173 cm
7-Feb-14,5 cm,169 cm,163 cm
8-Feb-14,5 cm,174 cm,163 cm
9-Feb-14,8 cm,182 cm,168 cm
10-Feb-14,8 cm,190 cm,168 cm
11-Feb-14,8 cm,198 cm,173 cm
20-Feb-14,15 cm,213 cm,168 cm
28-Feb-14,25 cm,238 cm,180 cm
1-Mar-14,13 cm,251 cm,180 cm
2-Mar-14,10 cm,261 cm,185 cm
3-Mar-14,3 cm,264 cm,183 cm
5-Mar-14,18 cm,282 cm,196 cm
8-Mar-14,23 cm,305 cm,203 cm
16-Mar-14,5 cm,310 cm,188 cm
23-Mar-14,3 cm,313 cm,180 cm
27-Mar-14,23 cm,336 cm,198 cm
28-Mar-14,10 cm,346 cm,201 cm
3-Apr-14,20 cm,366 cm,203 cm
4-Apr-14,3 cm,369 cm,201 cm
6-Apr-14,8 cm,377 cm,203 cm
14-Nov-14,20 cm,397 cm,30 cm
15-Nov-14,25 cm,422 cm,30 cm
16-Nov-14,36 cm,458 cm,30 cm
23-Nov-14,20 cm,478 cm,76 cm
24-Nov-14,20 cm,498 cm,76 cm
25-Nov-14,10 cm,508 cm,76 cm
3-Dec-14,10 cm,518 cm,58 cm
4-Dec-14,3 cm,521 cm,58 cm
5-Dec-14,3 cm,524 cm,64 cm
6-Dec-14,3 cm,527 cm,64 cm
14-Dec-14,38 cm,565 cm,79 cm
15-Dec-14,8 cm,573 cm,94 cm
18-Dec-14,20 cm,593 cm,99 cm
19-Dec-14,5 cm,598 cm,97 cm
22-Dec-14,15 cm,613 cm,97 cm
23-Dec-14,30 cm,643 cm,112 cm
26-Dec-14,5 cm,648 cm,107 cm
27-Dec-14,5 cm,653 cm,107 cm
29-Dec-14,3 cm,656 cm,104 cm
30-Dec-14,5 cm,661 cm,107 cm
1-Jan-13,18 cm,18 cm,69 cm
11-Jan-13,10 cm,28 cm,66 cm
15-Jan-13,3 cm,31 cm,69 cm
27-Jan-13,30 cm,61 cm,91 cm
28-Jan-13,13 cm,74 cm,99 cm
29-Jan-13,15 cm,89 cm,112 cm
30-Jan-13,5 cm,94 cm,107 cm
31-Jan-13,23 cm,117 cm,119 cm
4-Feb-13,5 cm,122 cm,104 cm
7-Feb-13,5 cm,127 cm,102 cm
9-Feb-13,8 cm,135 cm,97 cm
10-Feb-13,30 cm,165 cm,127 cm
11-Feb-13,13 cm,178 cm,127 cm
12-Feb-13,5 cm,183 cm,127 cm
18-Feb-13,13 cm,196 cm,122 cm
21-Feb-13,28 cm,224 cm,137 cm
22-Feb-13,25 cm,249 cm,152 cm
23-Feb-13,13 cm,262 cm,152 cm
24-Feb-13,20 cm,282 cm,160 cm
27-Feb-13,15 cm,297 cm,150 cm
1-Mar-13,3 cm,300 cm,140 cm
4-Mar-13,13 cm,313 cm,140 cm
5-Mar-13,8 cm,321 cm,145 cm
9-Mar-13,8 cm,329 cm,140 cm
10-Mar-13,15 cm,344 cm,150 cm
17-Mar-13,3 cm,347 cm,130 cm
18-Mar-13,3 cm,350 cm,130 cm
21-Mar-13,8 cm,358 cm,132 cm
22-Mar-13,3 cm,361 cm,135 cm
23-Mar-13,5 cm,366 cm,135 cm
24-Mar-13,10 cm,376 cm,140 cm
3-Apr-13,3 cm,379 cm,127 cm
4-Oct-13,5 cm,384 cm,0 cm
11-Oct-13,10 cm,394 cm,0 cm
4-Dec-13,20 cm,414 cm,97 cm
5-Dec-13,20 cm,434 cm,112 cm
8-Dec-13,13 cm,447 cm,112 cm
20-Dec-13,5 cm,452 cm,104 cm
21-Dec-13,13 cm,465 cm,112 cm
22-Dec-13,8 cm,473 cm,117 cm
8-Jan-12,10 cm,10 cm,86 cm
16-Jan-12,5 cm,15 cm,81 cm
17-Jan-12,20 cm,35 cm,102 cm
22-Jan-12,41 cm,76 cm,132 cm
23-Jan-12,10 cm,86 cm,127 cm
24-Jan-12,5 cm,91 cm,124 cm
27-Jan-12,18 cm,109 cm,132 cm
28-Jan-12,8 cm,117 cm,135 cm
3-Feb-12,8 cm,125 cm,124 cm
4-Feb-12,13 cm,138 cm,132 cm
6-Feb-12,8 cm,146 cm,130 cm
7-Feb-12,28 cm,174 cm,147 cm
9-Feb-12,18 cm,192 cm,152 cm
13-Feb-12,20 cm,212 cm,160 cm
14-Feb-12,8 cm,220 cm,165 cm
15-Feb-12,5 cm,225 cm,160 cm
20-Feb-12,23 cm,248 cm,160 cm
21-Feb-12,10 cm,258 cm,157 cm
24-Feb-12,5 cm,263 cm,152 cm
28-Feb-12,20 cm,283 cm,160 cm
29-Feb-12,8 cm,291 cm,160 cm
2-Mar-12,13 cm,304 cm,165 cm
3-Mar-12,8 cm,312 cm,165 cm
8-Mar-12,3 cm,315 cm,150 cm
19-Mar-12,28 cm,343 cm,170 cm
20-Mar-12,15 cm,358 cm,178 cm
3-Apr-12,13 cm,371 cm,150 cm
3-Dec-12,3 cm,374 cm,46 cm
7-Dec-12,8 cm,382 cm,46 cm
10-Dec-12,15 cm,397 cm,46 cm
11-Dec-12,8 cm,405 cm,46 cm
15-Dec-12,10 cm,415 cm,46 cm
16-Dec-12,13 cm,428 cm,48 cm
17-Dec-12,5 cm,433 cm,48 cm
19-Dec-12,18 cm,451 cm,58 cm
20-Dec-12,5 cm,456 cm,58 cm
24-Dec-12,3 cm,459 cm,53 cm
25-Dec-12,18 cm,477 cm,66 cm
27-Dec-12,8 cm,485 cm,66 cm
28-Dec-12,8 cm,493 cm,66 cm
31-Dec-12,3 cm,496 cm,61 cm
5-Jan-11,3 cm,3 cm,122 cm
9-Jan-11,8 cm,11 cm,119 cm
10-Jan-11,13 cm,24 cm,130 cm
14-Jan-11,3 cm,27 cm,127 cm
18-Jan-11,3 cm,30 cm,122 cm
20-Jan-11,13 cm,43 cm,127 cm
22-Jan-11,3 cm,46 cm,127 cm
23-Jan-11,3 cm,49 cm,127 cm
1-Feb-11,15 cm,64 cm,132 cm
6-Feb-11,25 cm,89 cm,135 cm
8-Feb-11,13 cm,102 cm,142 cm
9-Feb-11,15 cm,117 cm,150 cm
20-Feb-11,25 cm,142 cm,150 cm
24-Feb-11,3 cm,145 cm,147 cm
26-Feb-11,5 cm,150 cm,150 cm
28-Feb-11,8 cm,158 cm,155 cm
4-Mar-11,5 cm,163 cm,152 cm
5-Mar-11,3 cm,166 cm,155 cm
7-Mar-11,23 cm,189 cm,165 cm
8-Mar-11,13 cm,202 cm,178 cm
18-Mar-11,8 cm,210 cm,152 cm
22-Mar-11,8 cm,218 cm,160 cm
25-Mar-11,5 cm,223 cm,163 cm
26-Mar-11,8 cm,231 cm,165 cm
27-Mar-11,10 cm,241 cm,168 cm
29-Mar-11,5 cm,246 cm,175 cm
22-Nov-11,3 cm,249 cm,0 cm
25-Nov-11,3 cm,252 cm,61 cm
3-Dec-11,3 cm,255 cm,56 cm
5-Dec-11,8 cm,263 cm,84 cm
13-Dec-11,5 cm,268 cm,74 cm
14-Dec-11,10 cm,278 cm,84 cm
15-Dec-11,5 cm,283 cm,86 cm
22-Dec-11,8 cm,291 cm,84 cm
23-Dec-11,5 cm,296 cm,86 cm
19-Jan-10,3 cm,3 cm,91 cm
20-Jan-10,10 cm,13 cm,102 cm
21-Jan-10,5 cm,18 cm,104 cm
22-Jan-10,33 cm,51 cm,132 cm
23-Jan-10,13 cm,64 cm,137 cm
24-Jan-10,28 cm,92 cm,150 cm
27-Jan-10,3 cm,95 cm,132 cm
28-Jan-10,5 cm,100 cm,132 cm
4-Feb-10,5 cm,105 cm,124 cm
7-Feb-10,8 cm,113 cm,124 cm
8-Feb-10,15 cm,128 cm,140 cm
9-Feb-10,5 cm,133 cm,140 cm
11-Feb-10,3 cm,136 cm,132 cm
14-Feb-10,15 cm,151 cm,140 cm
16-Feb-10,5 cm,156 cm,135 cm
19-Feb-10,5 cm,161 cm,132 cm
20-Feb-10,33 cm,194 cm,160 cm
21-Feb-10,13 cm,207 cm,168 cm
22-Feb-10,28 cm,235 cm,183 cm
23-Feb-10,3 cm,238 cm,173 cm
25-Feb-10,8 cm,246 cm,168 cm
26-Feb-10,3 cm,249 cm,165 cm
1-Mar-10,3 cm,252 cm,155 cm
5-Mar-10,3 cm,255 cm,147 cm
8-Mar-10,10 cm,265 cm,157 cm
9-Mar-10,20 cm,285 cm,173 cm
10-Mar-10,5 cm,290 cm,165 cm
11-Mar-10,23 cm,313 cm,178 cm
14-Mar-10,8 cm,321 cm,175 cm
15-Mar-10,10 cm,331 cm,185 cm
20-Mar-10,28 cm,359 cm,196 cm
24-Mar-10,8 cm,367 cm,175 cm
25-Mar-10,3 cm,370 cm,173 cm
27-Mar-10,56 cm,426 cm,208 cm
1-Apr-10,3 cm,429 cm,188 cm
2-Apr-10,23 cm,452 cm,203 cm
3-Apr-10,10 cm,462 cm,198 cm
22-Nov-10,15 cm,477 cm,0 cm
23-Nov-10,3 cm,480 cm,0 cm
24-Nov-10,5 cm,485 cm,81 cm
25-Nov-10,8 cm,493 cm,81 cm
29-Nov-10,8 cm,501 cm,81 cm
30-Nov-10,3 cm,504 cm,79 cm
7-Dec-10,3 cm,507 cm,71 cm
10-Dec-10,5 cm,512 cm,76 cm
11-Dec-10,5 cm,517 cm,81 cm
16-Dec-10,8 cm,525 cm,81 cm
17-Dec-10,5 cm,530 cm,86 cm
18-Dec-10,5 cm,535 cm,91 cm
19-Dec-10,15 cm,550 cm,99 cm
20-Dec-10,8 cm,558 cm,104 cm
21-Dec-10,8 cm,566 cm,109 cm
22-Dec-10,8 cm,574 cm,109 cm
30-Dec-10,23 cm,597 cm,119 cm
31-Dec-10,10 cm,607 cm,124 cm
4-Jan-09,15 cm,15 cm,147 cm
5-Jan-09,8 cm,23 cm,150 cm
6-Jan-09,5 cm,28 cm,147 cm
7-Jan-09,8 cm,36 cm,152 cm
10-Jan-09,13 cm,49 cm,152 cm
13-Jan-09,3 cm,52 cm,150 cm
14-Jan-09,3 cm,55 cm,147 cm
23-Jan-09,3 cm,58 cm,135 cm
24-Jan-09,8 cm,66 cm,140 cm
25-Jan-09,8 cm,74 cm,142 cm
26-Jan-09,15 cm,89 cm,160 cm
27-Jan-09,15 cm,104 cm,165 cm
28-Jan-09,3 cm,107 cm,160 cm
29-Jan-09,3 cm,110 cm,155 cm
9-Feb-09,15 cm,125 cm,147 cm
10-Feb-09,25 cm,150 cm,163 cm
11-Feb-09,13 cm,163 cm,168 cm
13-Feb-09,10 cm,173 cm,165 cm
17-Feb-09,3 cm,176 cm,152 cm
18-Feb-09,3 cm,179 cm,155 cm
19-Feb-09,8 cm,187 cm,160 cm
23-Feb-09,8 cm,195 cm,155 cm
24-Feb-09,15 cm,210 cm,165 cm
8-Mar-09,10 cm,220 cm,150 cm
10-Mar-09,13 cm,233 cm,150 cm
11-Mar-09,3 cm,236 cm,150 cm
23-Mar-09,10 cm,246 cm,135 cm
24-Mar-09,18 cm,264 cm,137 cm
25-Mar-09,5 cm,269 cm,140 cm
26-Mar-09,8 cm,277 cm,145 cm
27-Mar-09,18 cm,295 cm,145 cm
31-Mar-09,8 cm,303 cm,150 cm
1-Apr-09,8 cm,311 cm,150 cm
2-Apr-09,10 cm,321 cm,150 cm
3-Apr-09,10 cm,331 cm,152 cm
4-Apr-09,8 cm,339 cm,152 cm
5-Apr-09,15 cm,354 cm,155 cm
10-Apr-09,8 cm,362 cm,155 cm
11-Apr-09,15 cm,377 cm,155 cm
12-Apr-09,36 cm,413 cm,160 cm
18-Nov-09,33 cm,446 cm,0 cm
23-Nov-09,10 cm,456 cm,58 cm
8-Dec-09,3 cm,459 cm,53 cm
9-Dec-09,5 cm,464 cm,89 cm
10-Dec-09,3 cm,467 cm,91 cm
12-Dec-09,3 cm,470 cm,81 cm
13-Dec-09,10 cm,480 cm,84 cm
14-Dec-09,23 cm,503 cm,107 cm
23-Dec-09,5 cm,508 cm,84 cm
24-Dec-09,5 cm,513 cm,86 cm
30-Dec-09,20 cm,533 cm,102 cm
31-Dec-09,23 cm,556 cm,124 cm
