transactionid,num_items_purchase,total_price,date,store,category,price per item
30,1,5.14,2019.09.09,CherryCreek,deli,5.14
30,6,191.18,2019.09.09,CherryCreek,meat,31.86333333
30,1,7.14,2019.09.09,CherryCreek,household,7.14
31,8,25.46,2019.01.29,ColoradoBlvd,produce,3.1825
31,9,59.33,2019.01.29,ColoradoBlvd,softdrinks,6.592222222
32,14,52.78,2019.05.30,HighlandsRanch,softdrinks,3.77
33,1,26.51,2019.11.28,UnionStation,meat,26.51
33,1,14.6,2019.11.28,UnionStation,freezer,14.6
33,1,19.4,2019.11.28,UnionStation,snack,19.4
33,1,1.71,2019.11.28,UnionStation,deli,1.71
33,1,23.96,2019.11.28,UnionStation,dairy,23.96
34,8,71.99,2019.05.27,HighlandsRanch,bakery,8.99875
34,10,115.13,2019.05.27,HighlandsRanch,freezer,11.513
35,4,37.9,2019.12.30,ColoradoBlvd,freezer,9.475
35,4,27.78,2019.12.30,ColoradoBlvd,snack,6.945
36,10,91.95,2019.07.14,HighlandsRanch,snack,9.195
36,12,30.87,2019.07.14,HighlandsRanch,produce,2.5725
37,7,28.61,2019.02.19,SouthGlenn,dairy,4.087142857
37,4,1.17,2019.02.19,SouthGlenn,beer,0.2925
37,12,32.52,2019.02.19,SouthGlenn,deli,2.71
37,6,18.9,2019.02.19,SouthGlenn,bakery,3.15
38,5,2.78,2019.01.26,WashingtonPark,softdrinks,0.556
39,1,16.16,2019.03.05,UnionStation,snack,16.16
39,2,27.16,2019.03.05,UnionStation,produce,13.58
39,1,21.47,2019.03.05,UnionStation,softdrinks,21.47
40,5,27.75,2019.02.14,Tamarac,snack,5.55
40,3,43.91,2019.02.14,Tamarac,meat,14.63666667
41,6,8.6,2019.07.29,HighlandsRanch,bakery,1.433333333
41,12,122.08,2019.07.29,HighlandsRanch,freezer,10.17333333
41,12,44.72,2019.07.29,HighlandsRanch,deli,3.726666667
41,26,234.77,2019.07.29,HighlandsRanch,beer,9.029615385
42,6,39.43,2019.06.26,CastleRock,freezer,6.571666667
42,6,10.17,2019.06.26,CastleRock,produce,1.695
43,7,22.19,2019.09.02,SouthGlenn,freezer,3.17
44,14,71.65,2019.04.01,HighlandsRanch,bakery,5.117857143
44,6,3.42,2019.04.01,HighlandsRanch,household,0.57
44,14,141.85,2019.04.01,HighlandsRanch,freezer,10.13214286
45,1,0.98,2019.03.25,CastleRock,household,0.98
45,10,11.68,2019.03.25,CastleRock,deli,1.168
46,1,6.86,2019.02.10,UnionStation,snack,6.86
46,1,15.57,2019.02.10,UnionStation,deli,15.57
46,1,27.84,2019.02.10,UnionStation,dairy,27.84
46,1,8.92,2019.02.10,UnionStation,produce,8.92
47,1,0.96,2019.04.23,SouthGlenn,meat,0.96
48,7,75.21,2019.05.08,CastleRock,meat,10.74428571
49,1,7.06,2019.05.13,CherryCreek,deli,7.06
49,2,17.59,2019.05.13,CherryCreek,freezer,8.795
50,4,20.32,2019.10.12,Tamarac,beer,5.08
51,9,8.8,2019.11.21,SouthGlenn,snack,0.977777778
51,3,11.32,2019.11.21,SouthGlenn,household,3.773333333
51,6,36.24,2019.11.21,SouthGlenn,deli,6.04
51,1,2.35,2019.11.21,SouthGlenn,produce,2.35
51,7,6.6,2019.11.21,SouthGlenn,freezer,0.942857143
52,3,49.82,2019.07.01,CherryCreek,bakery,16.60666667
52,2,16.26,2019.07.01,CherryCreek,produce,8.13
53,4,9.51,2019.11.01,HighlandsRanch,household,2.3775
53,6,53.81,2019.11.01,HighlandsRanch,freezer,8.968333333
53,10,31.43,2019.11.01,HighlandsRanch,bakery,3.143
54,2,5.48,2019.08.20,WashingtonPark,deli,2.74
54,9,38.48,2019.08.20,WashingtonPark,meat,4.275555556
54,4,11.09,2019.08.20,WashingtonPark,snack,2.7725
54,10,179.95,2019.08.20,WashingtonPark,beer,17.995
55,5,27.69,2019.12.09,Tamarac,softdrinks,5.538
55,4,19.39,2019.12.09,Tamarac,deli,4.8475
55,7,49.42,2019.12.09,Tamarac,freezer,7.06
55,2,7.52,2019.12.09,Tamarac,bakery,3.76
55,3,6.08,2019.12.09,Tamarac,dairy,2.026666667
55,5,24.66,2019.12.09,Tamarac,beer,4.932
56,12,30.35,2019.07.02,HighlandsRanch,freezer,2.529166667
57,4,1.01,2019.01.11,SouthGlenn,household,0.2525
57,10,29.79,2019.01.11,SouthGlenn,bakery,2.979
58,1,4,2019.11.04,CherryCreek,freezer,4
58,3,64.89,2019.11.04,CherryCreek,beer,21.63
58,2,5.29,2019.11.04,CherryCreek,snack,2.645
58,2,33.89,2019.11.04,CherryCreek,dairy,16.945
59,14,100.86,2019.01.15,HighlandsRanch,bakery,7.204285714
59,8,13.61,2019.01.15,HighlandsRanch,household,1.70125
59,10,110.39,2019.01.15,HighlandsRanch,dairy,11.039
59,6,38.01,2019.01.15,HighlandsRanch,freezer,6.335
60,5,8.83,2019.02.15,Tamarac,bakery,1.766
60,2,17.2,2019.02.15,Tamarac,softdrinks,8.6
61,6,53.6,2019.08.09,HighlandsRanch,bakery,8.933333333
62,2,4.39,2019.04.14,HighlandsRanch,household,2.195
63,9,47.29,2019.03.09,SouthGlenn,softdrinks,5.254444444
63,6,29.29,2019.03.09,SouthGlenn,bakery,4.881666667
63,9,28.24,2019.03.09,SouthGlenn,produce,3.137777778
63,7,6.98,2019.03.09,SouthGlenn,beer,0.997142857
64,2,8.7,2019.10.08,WashingtonPark,bakery,4.35
64,3,3.61,2019.10.08,WashingtonPark,meat,1.203333333
64,1,9.94,2019.10.08,WashingtonPark,household,9.94
64,4,31.54,2019.10.08,WashingtonPark,beer,7.885
65,2,22.02,2019.04.30,CherryCreek,deli,11.01
65,2,2.07,2019.04.30,CherryCreek,produce,1.035
66,16,180.26,2019.11.23,HighlandsRanch,bakery,11.26625
67,6,55.08,2019.05.12,GovernorsRanch,dairy,9.18
68,7,46.49,2019.04.06,CastleRock,bakery,6.641428571
68,3,31.16,2019.04.06,CastleRock,beer,10.38666667
68,3,9.22,2019.04.06,CastleRock,snack,3.073333333
68,1,5.76,2019.04.06,CastleRock,freezer,5.76
69,2,43.01,2019.04.29,UnionStation,beer,21.505
69,1,9.84,2019.04.29,UnionStation,dairy,9.84
69,1,12.56,2019.04.29,UnionStation,freezer,12.56
69,1,11.6,2019.04.29,UnionStation,snack,11.6
70,4,4.04,2019.07.19,SouthGlenn,bakery,1.01
70,15,32.17,2019.07.19,SouthGlenn,meat,2.144666667
71,6,24.39,2019.01.28,GovernorsRanch,bakery,4.065
72,4,38.19,2019.06.14,Tamarac,bakery,9.5475
73,2,20.99,2019.02.19,CherryCreek,deli,10.495
73,3,37.18,2019.02.19,CherryCreek,softdrinks,12.39333333
73,3,38.96,2019.02.19,CherryCreek,beer,12.98666667
74,4,22.63,2019.05.15,CastleRock,bakery,5.6575
74,3,18.08,2019.05.15,CastleRock,softdrinks,6.026666667
75,10,19.53,2019.09.16,CastleRock,dairy,1.953
75,10,27.31,2019.09.16,CastleRock,snack,2.731
76,3,24.37,2019.04.06,WashingtonPark,snack,8.123333333
77,4,11.92,2019.05.24,SouthGlenn,softdrinks,2.98
77,1,2.7,2019.05.24,SouthGlenn,household,2.7
77,6,15.62,2019.05.24,SouthGlenn,deli,2.603333333
77,9,22.32,2019.05.24,SouthGlenn,beer,2.48
78,1,1.2,2019.08.30,ColoradoBlvd,household,1.2
78,3,23.26,2019.08.30,ColoradoBlvd,softdrinks,7.753333333
78,12,61.06,2019.08.30,ColoradoBlvd,beer,5.088333333
78,3,10.27,2019.08.30,ColoradoBlvd,snack,3.423333333
79,4,24.28,2019.09.15,Tamarac,deli,6.07
79,4,11.88,2019.09.15,Tamarac,freezer,2.97
79,12,146.47,2019.09.15,Tamarac,beer,12.20583333
80,10,0.14,2019.08.24,HighlandsRanch,softdrinks,0.014
81,4,17.12,2019.08.17,ColoradoBlvd,dairy,4.28
81,1,3.93,2019.08.17,ColoradoBlvd,household,3.93
81,4,19.53,2019.08.17,ColoradoBlvd,softdrinks,4.8825
82,1,28.07,2019.11.15,UnionStation,beer,28.07
82,1,1.83,2019.11.15,UnionStation,freezer,1.83
83,6,50.1,2019.02.03,SouthGlenn,beer,8.35
83,3,8.4,2019.02.03,SouthGlenn,household,2.8
83,6,9.63,2019.02.03,SouthGlenn,snack,1.605
84,10,76.38,2019.02.07,HighlandsRanch,dairy,7.638
84,8,68.15,2019.02.07,HighlandsRanch,meat,8.51875
84,8,93.29,2019.02.07,HighlandsRanch,deli,11.66125
84,6,91.42,2019.02.07,HighlandsRanch,beer,15.23666667
84,4,12.4,2019.02.07,HighlandsRanch,produce,3.1
85,3,9.91,2019.09.19,ColoradoBlvd,softdrinks,3.303333333
86,1,6.49,2019.06.06,UnionStation,softdrinks,6.49
86,4,66.49,2019.06.06,UnionStation,beer,16.6225
86,1,10.05,2019.06.06,UnionStation,deli,10.05
86,1,12.27,2019.06.06,UnionStation,bakery,12.27
86,1,25.9,2019.06.06,UnionStation,freezer,25.9
87,3,0.08,2019.08.07,ColoradoBlvd,softdrinks,0.026666667
87,2,7.98,2019.08.07,ColoradoBlvd,deli,3.99
87,6,11.35,2019.08.07,ColoradoBlvd,dairy,1.891666667
87,4,8.68,2019.08.07,ColoradoBlvd,bakery,2.17
88,3,0.25,2019.05.02,GovernorsRanch,produce,0.083333333
89,7,48.68,2019.12.31,SouthGlenn,dairy,6.954285714
89,10,69.85,2019.12.31,SouthGlenn,softdrinks,6.985
89,3,0.74,2019.12.31,SouthGlenn,produce,0.246666667
90,4,21.59,2019.11.21,Tamarac,dairy,5.3975
91,3,9.85,2019.08.29,Tamarac,softdrinks,3.283333333
92,4,2.63,2019.05.31,SouthGlenn,dairy,0.6575
93,5,3.8,2019.01.19,ColoradoBlvd,deli,0.76
93,2,14.48,2019.01.19,ColoradoBlvd,freezer,7.24
93,5,16.97,2019.01.19,ColoradoBlvd,softdrinks,3.394
93,8,24.94,2019.01.19,ColoradoBlvd,dairy,3.1175
94,7,52.62,2019.03.29,Tamarac,softdrinks,7.517142857
94,3,16.71,2019.03.29,Tamarac,freezer,5.57
95,5,16.76,2019.12.03,Tamarac,produce,3.352
95,5,8.24,2019.12.03,Tamarac,deli,1.648
95,2,2.7,2019.12.03,Tamarac,dairy,1.35
95,6,48.95,2019.12.03,Tamarac,snack,8.158333333
95,6,14.54,2019.12.03,Tamarac,beer,2.423333333
96,7,1.78,2019.10.27,ColoradoBlvd,produce,0.254285714
96,2,2.58,2019.10.27,ColoradoBlvd,meat,1.29
97,4,5.02,2019.03.23,ColoradoBlvd,softdrinks,1.255
97,5,4.35,2019.03.23,ColoradoBlvd,produce,0.87
98,12,79.13,2019.10.22,SouthGlenn,freezer,6.594166667
98,6,56.56,2019.10.22,SouthGlenn,beer,9.426666667
98,10,47.9,2019.10.22,SouthGlenn,softdrinks,4.79
99,2,9.04,2019.11.04,HighlandsRanch,household,4.52
99,12,7.79,2019.11.04,HighlandsRanch,dairy,0.649166667
100,2,33.47,2019.01.09,CherryCreek,snack,16.735
100,3,18.75,2019.01.09,CherryCreek,dairy,6.25
101,12,126.97,2019.01.19,HighlandsRanch,snack,10.58083333
101,2,19.04,2019.01.19,HighlandsRanch,meat,9.52
101,12,40.63,2019.01.19,HighlandsRanch,bakery,3.385833333
102,1,4.77,2019.11.29,GovernorsRanch,household,4.77
102,7,40,2019.11.29,GovernorsRanch,beer,5.714285714
102,6,51.85,2019.11.29,GovernorsRanch,freezer,8.641666667
103,10,17.87,2019.10.05,HighlandsRanch,produce,1.787
104,3,11.29,2019.08.07,GovernorsRanch,produce,3.763333333
105,6,46.83,2019.01.29,HighlandsRanch,snack,7.805
106,6,5.16,2019.09.18,SouthGlenn,softdrinks,0.86
106,3,11.04,2019.09.18,SouthGlenn,snack,3.68
107,3,0.73,2019.11.26,CherryCreek,deli,0.243333333
107,3,26.29,2019.11.26,CherryCreek,freezer,8.763333333
108,1,22.34,2019.04.03,UnionStation,household,22.34
108,1,11.15,2019.04.03,UnionStation,dairy,11.15
109,1,25.76,2019.12.15,WashingtonPark,meat,25.76
110,1,20.79,2019.03.05,UnionStation,softdrinks,20.79
110,1,10.45,2019.03.05,UnionStation,snack,10.45
110,1,27.35,2019.03.05,UnionStation,beer,27.35
110,1,45.65,2019.03.05,UnionStation,meat,45.65
111,5,32.38,2019.09.04,Tamarac,softdrinks,6.476
111,6,25.66,2019.09.04,Tamarac,bakery,4.276666667
111,3,11.2,2019.09.04,Tamarac,deli,3.733333333
111,7,21.64,2019.09.04,Tamarac,freezer,3.091428571
112,3,13.85,2019.12.18,ColoradoBlvd,snack,4.616666667
113,2,16.87,2019.12.06,CherryCreek,produce,8.435
113,3,59.14,2019.12.06,CherryCreek,beer,19.71333333
114,18,57.64,2019.06.17,CastleRock,beer,3.202222222
114,4,19.12,2019.06.17,CastleRock,household,4.78
114,7,44.06,2019.06.17,CastleRock,snack,6.294285714
115,4,6.06,2019.01.18,Tamarac,deli,1.515
115,6,3.18,2019.01.18,Tamarac,dairy,0.53
115,6,86.07,2019.01.18,Tamarac,beer,14.345
116,12,88.06,2019.06.18,HighlandsRanch,bakery,7.338333333
116,12,16.24,2019.06.18,HighlandsRanch,freezer,1.353333333
116,24,413.29,2019.06.18,HighlandsRanch,beer,17.22041667
117,7,13.46,2019.05.15,GovernorsRanch,dairy,1.922857143
117,4,22.44,2019.05.15,GovernorsRanch,softdrinks,5.61
118,4,17.83,2019.03.20,SouthGlenn,dairy,4.4575
118,7,17.41,2019.03.20,SouthGlenn,deli,2.487142857
119,3,1.43,2019.04.13,GovernorsRanch,deli,0.476666667
119,1,2.28,2019.04.13,GovernorsRanch,bakery,2.28
119,4,53.78,2019.04.13,GovernorsRanch,beer,13.445
119,3,1.84,2019.04.13,GovernorsRanch,produce,0.613333333
120,4,8.67,2019.03.02,CastleRock,household,2.1675
121,7,16.89,2019.11.13,SouthGlenn,produce,2.412857143
121,4,17.45,2019.11.13,SouthGlenn,snack,4.3625
122,2,36.8,2019.11.11,CherryCreek,meat,18.4
122,2,17.36,2019.11.11,CherryCreek,produce,8.68
122,2,15.28,2019.11.11,CherryCreek,deli,7.64
123,9,38.75,2019.10.12,SouthGlenn,softdrinks,4.305555556
124,1,18,2019.05.15,UnionStation,deli,18
124,1,29.48,2019.05.15,UnionStation,bakery,29.48
125,1,18.57,2019.01.03,UnionStation,deli,18.57
125,1,35.43,2019.01.03,UnionStation,beer,35.43
125,1,36.26,2019.01.03,UnionStation,meat,36.26
126,5,13.38,2019.09.13,GovernorsRanch,softdrinks,2.676
126,4,26.39,2019.09.13,GovernorsRanch,snack,6.5975
126,15,208.3,2019.09.13,GovernorsRanch,beer,13.88666667
127,4,23.75,2019.08.08,WashingtonPark,snack,5.9375
127,4,10.05,2019.08.08,WashingtonPark,freezer,2.5125
127,12,264.24,2019.08.08,WashingtonPark,beer,22.02
128,12,135.76,2019.08.23,WashingtonPark,beer,11.31333333
128,5,44.2,2019.08.23,WashingtonPark,snack,8.84
129,5,19.53,2019.12.30,Tamarac,snack,3.906
129,5,11.59,2019.12.30,Tamarac,produce,2.318
130,7,28.11,2019.10.03,CastleRock,snack,4.015714286
130,7,1.84,2019.10.03,CastleRock,deli,0.262857143
131,4,14.98,2019.05.23,CastleRock,deli,3.745
132,9,40.92,2019.05.01,SouthGlenn,snack,4.546666667
132,4,21.28,2019.05.01,SouthGlenn,deli,5.32
133,3,53.76,2019.06.13,CherryCreek,snack,17.92
134,2,1.47,2019.01.23,GovernorsRanch,deli,0.735
134,3,6.6,2019.01.23,GovernorsRanch,softdrinks,2.2
135,1,2,2019.07.19,UnionStation,deli,2
136,6,100.46,2019.12.07,HighlandsRanch,meat,16.74333333
137,1,4.62,2019.07.22,UnionStation,produce,4.62
137,1,21.09,2019.07.22,UnionStation,snack,21.09
138,5,11.68,2019.01.03,GovernorsRanch,bakery,2.336
139,3,15.81,2019.03.10,GovernorsRanch,softdrinks,5.27
140,6,57.44,2019.12.03,Tamarac,softdrinks,9.573333333
141,4,36.23,2019.03.30,GovernorsRanch,bakery,9.0575
142,16,62.33,2019.08.18,SouthGlenn,meat,3.895625
142,7,5.45,2019.08.18,SouthGlenn,deli,0.778571429
143,10,26.73,2019.05.18,SouthGlenn,deli,2.673
143,4,9.48,2019.05.18,SouthGlenn,beer,2.37
144,1,8.3,2019.11.07,WashingtonPark,household,8.3
144,4,37.92,2019.11.07,WashingtonPark,dairy,9.48
144,4,58.71,2019.11.07,WashingtonPark,freezer,14.6775
144,3,3.77,2019.11.07,WashingtonPark,deli,1.256666667
145,6,20.55,2019.12.10,SouthGlenn,meat,3.425
145,1,3.6,2019.12.10,SouthGlenn,household,3.6
146,8,6.85,2019.12.24,GovernorsRanch,snack,0.85625
146,4,25.74,2019.12.24,GovernorsRanch,softdrinks,6.435
146,1,4.72,2019.12.24,GovernorsRanch,household,4.72
146,3,14.58,2019.12.24,GovernorsRanch,dairy,4.86
147,3,6.03,2019.06.26,Tamarac,snack,2.01
147,6,25.01,2019.06.26,Tamarac,produce,4.168333333
148,18,182.56,2019.09.11,CastleRock,beer,10.14222222
148,6,7.78,2019.09.11,CastleRock,dairy,1.296666667
148,4,15.65,2019.09.11,CastleRock,softdrinks,3.9125
148,7,23.73,2019.09.11,CastleRock,deli,3.39
148,6,3.65,2019.09.11,CastleRock,produce,0.608333333
149,6,19.54,2019.11.09,CastleRock,deli,3.256666667
149,10,69.3,2019.11.09,CastleRock,dairy,6.93
149,7,48.5,2019.11.09,CastleRock,softdrinks,6.928571429
149,6,9.21,2019.11.09,CastleRock,beer,1.535
150,4,20.15,2019.08.18,GovernorsRanch,deli,5.0375
150,6,13.04,2019.08.18,GovernorsRanch,produce,2.173333333
151,1,9.65,2019.11.15,UnionStation,household,9.65
151,1,10.59,2019.11.15,UnionStation,deli,10.59
152,1,2.65,2019.03.15,UnionStation,dairy,2.65
152,1,0.32,2019.03.15,UnionStation,deli,0.32
152,1,13.2,2019.03.15,UnionStation,snack,13.2
152,1,11.02,2019.03.15,UnionStation,freezer,11.02
153,7,31.77,2019.03.05,ColoradoBlvd,snack,4.538571429
153,5,51.9,2019.03.05,ColoradoBlvd,beer,10.38
153,1,0.42,2019.03.05,ColoradoBlvd,household,0.42
154,1,8.03,2019.03.28,UnionStation,beer,8.03
155,7,46.81,2019.04.14,CastleRock,deli,6.687142857
155,3,15.19,2019.04.14,CastleRock,beer,5.063333333
155,4,21.43,2019.04.14,CastleRock,dairy,5.3575
155,1,4.99,2019.04.14,CastleRock,household,4.99
155,3,13.13,2019.04.14,CastleRock,snack,4.376666667
156,2,4.45,2019.03.31,CherryCreek,snack,2.225
157,7,19.91,2019.03.26,SouthGlenn,softdrinks,2.844285714
158,5,43.93,2019.11.08,ColoradoBlvd,freezer,8.786
158,4,19.12,2019.11.08,ColoradoBlvd,household,4.78
159,1,25.68,2019.04.17,UnionStation,bakery,25.68
159,1,16.23,2019.04.17,UnionStation,freezer,16.23
159,1,29.44,2019.04.17,UnionStation,snack,29.44
159,1,17.49,2019.04.17,UnionStation,household,17.49
160,5,32.54,2019.10.09,GovernorsRanch,snack,6.508
160,2,13.03,2019.10.09,GovernorsRanch,dairy,6.515
161,4,17.91,2019.02.09,Tamarac,snack,4.4775
161,3,2.52,2019.02.09,Tamarac,produce,0.84
162,1,14.89,2019.12.13,UnionStation,household,14.89
162,1,33.21,2019.12.13,UnionStation,meat,33.21
162,1,13.44,2019.12.13,UnionStation,produce,13.44
163,5,5.79,2019.05.29,ColoradoBlvd,produce,1.158
163,3,25.37,2019.05.29,ColoradoBlvd,snack,8.456666667
164,2,26.04,2019.12.04,Tamarac,meat,13.02
165,8,98.17,2019.07.24,Tamarac,meat,12.27125
166,12,30.49,2019.01.03,HighlandsRanch,bakery,2.540833333
166,6,13.73,2019.01.03,HighlandsRanch,meat,2.288333333
166,4,28.51,2019.01.03,HighlandsRanch,household,7.1275
166,16,81.4,2019.01.03,HighlandsRanch,freezer,5.0875
166,10,113.34,2019.01.03,HighlandsRanch,beer,11.334
167,3,9.92,2019.10.28,CherryCreek,softdrinks,3.306666667
167,1,14.07,2019.10.28,CherryCreek,household,14.07
168,6,51.29,2019.12.13,SouthGlenn,beer,8.548333333
169,1,5.21,2019.04.07,SouthGlenn,household,5.21
169,10,43.34,2019.04.07,SouthGlenn,deli,4.334
169,1,10.15,2019.04.07,SouthGlenn,meat,10.15
169,7,41.86,2019.04.07,SouthGlenn,softdrinks,5.98
169,6,10.48,2019.04.07,SouthGlenn,freezer,1.746666667
170,9,50.43,2019.10.14,SouthGlenn,beer,5.603333333
170,6,41.42,2019.10.14,SouthGlenn,bakery,6.903333333
170,10,65.16,2019.10.14,SouthGlenn,deli,6.516
171,5,14.86,2019.01.19,WashingtonPark,deli,2.972
172,6,21.15,2019.09.10,GovernorsRanch,dairy,3.525
172,5,23.99,2019.09.10,GovernorsRanch,bakery,4.798
172,2,19.79,2019.09.10,GovernorsRanch,softdrinks,9.895
173,3,3.07,2019.02.23,GovernorsRanch,meat,1.023333333
173,8,38.69,2019.02.23,GovernorsRanch,softdrinks,4.83625
174,1,19.66,2019.06.11,UnionStation,household,19.66
174,1,1.48,2019.06.11,UnionStation,bakery,1.48
174,1,10.69,2019.06.11,UnionStation,snack,10.69
174,1,15.48,2019.06.11,UnionStation,deli,15.48
174,1,5.95,2019.06.11,UnionStation,softdrinks,5.95
175,10,53.25,2019.05.01,HighlandsRanch,freezer,5.325
175,6,22.49,2019.05.01,HighlandsRanch,meat,3.748333333
175,6,37.96,2019.05.01,HighlandsRanch,household,6.326666667
176,6,8.35,2019.05.08,CastleRock,softdrinks,1.391666667
177,4,36.72,2019.09.22,Tamarac,snack,9.18
177,2,2.14,2019.09.22,Tamarac,freezer,1.07
177,6,48.5,2019.09.22,Tamarac,deli,8.083333333
178,8,85.53,2019.05.13,GovernorsRanch,beer,10.69125
178,3,10.01,2019.05.13,GovernorsRanch,bakery,3.336666667
179,9,22.62,2019.07.15,SouthGlenn,softdrinks,2.513333333
