Date,Empl_Rate
1981 JAN,69.5
1981 FEB,69.3
1981 MAR,69.1
1981 APR,68.9
1981 MAY,68.7
1981 JUN,68.5
1981 JUL,68.4
1981 AUG,68.2
1981 SEP,68.1
1981 OCT,67.9
1981 NOV,67.7
1981 DEC,67.6
1982 JAN,67.5
1982 FEB,67.4
1982 MAR,67.3
1982 APR,67.2
1982 MAY,67.1
1982 JUN,66.9
1982 JUL,66.8
1982 AUG,66.6
1982 SEP,66.5
1982 OCT,66.3
1982 NOV,66.1
1982 DEC,65.9
1983 JAN,65.8
1983 FEB,65.7
1983 MAR,65.6
1983 APR,65.6
1983 MAY,65.6
1983 JUN,65.6
1983 JUL,65.7
1983 AUG,65.9
1983 SEP,66
1983 OCT,66.2
1983 NOV,66.3
1983 DEC,66.4
1984 JAN,66.4
1984 FEB,66.5
1984 MAR,66.6
1984 APR,66.6
1984 MAY,66.7
1984 JUN,66.7
1984 JUL,66.8
1984 AUG,66.8
1984 SEP,66.9
1984 OCT,67
1984 NOV,67.1
1984 DEC,67.1
1985 JAN,67.2
1985 FEB,67.3
1985 MAR,67.3
1985 APR,67.3
1985 MAY,67.4
1985 JUN,67.4
1985 JUL,67.4
1985 AUG,67.5
1985 SEP,67.5
1985 OCT,67.5
1985 NOV,67.5
1985 DEC,67.5
1986 JAN,67.6
1986 FEB,67.6
1986 MAR,67.6
1986 APR,67.6
1986 MAY,67.6
1986 JUN,67.6
1986 JUL,67.7
1986 AUG,67.8
1986 SEP,67.8
1986 OCT,67.9
1986 NOV,67.9
1986 DEC,68
1987 JAN,68
1987 FEB,68.1
1987 MAR,68.2
1987 APR,68.3
1987 MAY,68.5
1987 JUN,68.7
1987 JUL,68.9
1987 AUG,69.1
1987 SEP,69.3
1987 OCT,69.5
1987 NOV,69.7
1987 DEC,69.9
1988 JAN,70
1988 FEB,70.2
1988 MAR,70.4
1988 APR,70.5
1988 MAY,70.7
1988 JUN,70.8
1988 JUL,70.9
1988 AUG,71.1
1988 SEP,71.3
1988 OCT,71.4
1988 NOV,71.5
1988 DEC,71.7
1989 JAN,71.9
1989 FEB,72.1
1989 MAR,72.3
1989 APR,72.4
1989 MAY,72.4
1989 JUN,72.5
1989 JUL,72.5
1989 AUG,72.6
1989 SEP,72.6
1989 OCT,72.7
1989 NOV,72.8
1989 DEC,72.8
1990 JAN,72.8
1990 FEB,72.8
1990 MAR,72.8
1990 APR,72.8
1990 MAY,72.8
1990 JUN,72.8
1990 JUL,72.8
1990 AUG,72.7
1990 SEP,72.6
1990 OCT,72.4
1990 NOV,72.3
1990 DEC,72.1
1991 JAN,71.9
1991 FEB,71.7
1991 MAR,71.5
1991 APR,71.2
1991 MAY,71
1991 JUN,70.7
1991 JUL,70.5
1991 AUG,70.3
1991 SEP,70.1
1991 OCT,69.9
1991 NOV,69.8
1991 DEC,69.6
1992 JAN,69.5
1992 FEB,69.4
1992 MAR,69.3
1992 APR,69.2
1992 MAY,69.1
1992 JUN,69
1992 JUL,68.9
1992 AUG,68.9
1992 SEP,68.8
1992 OCT,68.7
1992 NOV,68.5
1992 DEC,68.4
1993 JAN,68.3
1993 FEB,68.4
1993 MAR,68.3
1993 APR,68.4
1993 MAY,68.4
1993 JUN,68.4
1993 JUL,68.4
1993 AUG,68.5
1993 SEP,68.5
1993 OCT,68.5
1993 NOV,68.5
1993 DEC,68.5
1994 JAN,68.6
1994 FEB,68.7
1994 MAR,68.8
1994 APR,68.8
1994 MAY,68.8
1994 JUN,69
1994 JUL,69
1994 AUG,69
1994 SEP,69
1994 OCT,69.1
1994 NOV,69.1
1994 DEC,69
1995 JAN,69.1
1995 FEB,69.2
1995 MAR,69.3
1995 APR,69.4
1995 MAY,69.4
1995 JUN,69.5
1995 JUL,69.6
1995 AUG,69.6
1995 SEP,69.7
1995 OCT,69.7
1995 NOV,69.9
1995 DEC,70
1996 JAN,69.9
1996 FEB,69.9
1996 MAR,69.9
1996 APR,69.9
1996 MAY,69.9
1996 JUN,69.9
1996 JUL,70
1996 AUG,70
1996 SEP,70.1
1996 OCT,70.3
1996 NOV,70.3
1996 DEC,70.5
1997 JAN,70.6
1997 FEB,70.8
1997 MAR,70.9
1997 APR,70.9
1997 MAY,71
1997 JUN,70.9
1997 JUL,70.9
1997 AUG,71.1
1997 SEP,71.1
1997 OCT,71.2
1997 NOV,71.2
1997 DEC,71.2
1998 JAN,71.2
1998 FEB,71.3
1998 MAR,71.3
1998 APR,71.3
1998 MAY,71.3
1998 JUN,71.4
1998 JUL,71.6
1998 AUG,71.6
1998 SEP,71.6
1998 OCT,71.8
1998 NOV,71.8
1998 DEC,71.9
1999 JAN,71.9
1999 FEB,71.9
1999 MAR,71.8
1999 APR,71.8
1999 MAY,71.9
1999 JUN,71.9
1999 JUL,72
1999 AUG,72.1
1999 SEP,72.1
1999 OCT,72.2
1999 NOV,72.3
1999 DEC,72.2
2000 JAN,72.2
2000 FEB,72.3
2000 MAR,72.3
2000 APR,72.4
2000 MAY,72.5
2000 JUN,72.6
2000 JUL,72.7
2000 AUG,72.6
2000 SEP,72.5
2000 OCT,72.4
2000 NOV,72.5
2000 DEC,72.7
2001 JAN,72.6
2001 FEB,72.6
2001 MAR,72.7
2001 APR,72.7
2001 MAY,72.7
2001 JUN,72.6
2001 JUL,72.6
2001 AUG,72.5
2001 SEP,72.5
2001 OCT,72.6
2001 NOV,72.6
2001 DEC,72.5
2002 JAN,72.5
2002 FEB,72.5
2002 MAR,72.6
2002 APR,72.6
2002 MAY,72.7
2002 JUN,72.6
2002 JUL,72.7
2002 AUG,72.6
2002 SEP,72.7
2002 OCT,72.8
2002 NOV,72.9
2002 DEC,72.8
2003 JAN,72.6
2003 FEB,72.7
2003 MAR,72.7
2003 APR,72.8
2003 MAY,72.9
2003 JUN,72.8
2003 JUL,72.8
2003 AUG,72.8
2003 SEP,72.8
2003 OCT,72.8
2003 NOV,72.8
2003 DEC,73
2004 JAN,73
2004 FEB,73
2004 MAR,73
2004 APR,72.9
2004 MAY,72.9
2004 JUN,72.8
2004 JUL,72.8
2004 AUG,72.9
2004 SEP,72.9
2004 OCT,73
2004 NOV,73
2004 DEC,73.1
2005 JAN,73.2
2005 FEB,73.1
2005 MAR,72.9
2005 APR,72.9
2005 MAY,72.9
2005 JUN,73
2005 JUL,73
2005 AUG,73
2005 SEP,72.9
2005 OCT,72.8
2005 NOV,72.7
2005 DEC,72.8
2006 JAN,72.8
2006 FEB,72.9
2006 MAR,72.9
2006 APR,72.8
2006 MAY,72.8
2006 JUN,72.9
2006 JUL,73
2006 AUG,72.8
2006 SEP,72.8
2006 OCT,72.7
2006 NOV,72.7
2006 DEC,72.6
2007 JAN,72.5
2007 FEB,72.5
2007 MAR,72.5
2007 APR,72.7
2007 MAY,72.7
2007 JUN,72.6
2007 JUL,72.6
2007 AUG,72.7
2007 SEP,72.8
2007 OCT,72.8
2007 NOV,72.9
2007 DEC,72.9
2008 JAN,73
2008 FEB,73
2008 MAR,73
2008 APR,73
2008 MAY,72.9
2008 JUN,72.8
2008 JUL,72.6
2008 AUG,72.4
2008 SEP,72.3
2008 OCT,72.3
2008 NOV,72.2
2008 DEC,72.2
2009 JAN,71.9
2009 FEB,71.7
2009 MAR,71.4
2009 APR,71
2009 MAY,70.8
2009 JUN,70.6
2009 JUL,70.7
2009 AUG,70.6
2009 SEP,70.6
2009 OCT,70.6
2009 NOV,70.6
2009 DEC,70.4
2010 JAN,70.3
2010 FEB,70.2
2010 MAR,70.2
2010 APR,70.4
2010 MAY,70.4
2010 JUN,70.6
2010 JUL,70.6
2010 AUG,70.7
2010 SEP,70.5
2010 OCT,70.3
2010 NOV,70.4
2010 DEC,70.5
2011 JAN,70.6
2011 FEB,70.5
2011 MAR,70.5
2011 APR,70.5
2011 MAY,70.5
2011 JUN,70.2
2011 JUL,70.2
2011 AUG,70.1
2011 SEP,70.1
2011 OCT,70.1
2011 NOV,70.2
2011 DEC,70.2
2012 JAN,70.3
2012 FEB,70.5
2012 MAR,70.5
2012 APR,70.7
2012 MAY,70.9
2012 JUN,71.1
2012 JUL,71.2
2012 AUG,71.1
2012 SEP,71.1
2012 OCT,71.3
2012 NOV,71.4
2012 DEC,71.4
2013 JAN,71.2
2013 FEB,71.2
2013 MAR,71.2
2013 APR,71.2
2013 MAY,71.3
2013 JUN,71.5
2013 JUL,71.5
2013 AUG,71.7
2013 SEP,71.9
2013 OCT,72
2013 NOV,72
2013 DEC,72.1
2014 JAN,72.4
2014 FEB,72.5
2014 MAR,72.7
2014 APR,72.9
2014 MAY,72.8
2014 JUN,72.8
2014 JUL,73
2014 AUG,73
2014 SEP,73
2014 OCT,73
2014 NOV,73.2
2014 DEC,73.3
2015 JAN,73.4
2015 FEB,73.4
2015 MAR,73.4
2015 APR,73.3
2015 MAY,73.4
2015 JUN,73.5
2015 JUL,73.6
2015 AUG,73.8
2015 SEP,74
2015 OCT,74
2015 NOV,74.1
2015 DEC,74.1
2016 JAN,74.1
2016 FEB,74.1
2016 MAR,74.2
2016 APR,74.4
2016 MAY,74.4
2016 JUN,74.5
2016 JUL,74.5
2016 AUG,74.4
2016 SEP,74.4
2016 OCT,74.4
2016 NOV,74.6
2016 DEC,74.5
2017 JAN,74.6
2017 FEB,74.8
2017 MAR,74.8
2017 APR,74.9
2017 MAY,75.1
2017 JUN,75.3
2017 JUL,75.1
2017 AUG,75
2017 SEP,75.1
2017 OCT,75.3
2017 NOV,75.2
2017 DEC,75.3
2018 JAN,75.4
2018 FEB,75.6
2018 MAR,75.6
2018 APR,75.6
2018 MAY,75.5
2018 JUN,75.5
2018 JUL,75.6
2018 AUG,75.6
2018 SEP,75.7
2018 OCT,75.8
2018 NOV,75.8
2018 DEC,76.1
2019 JAN,76.1
2019 FEB,76.1
2019 MAR,76.1
2019 APR,76
2019 MAY,76.1
2019 JUN,76.1
2019 JUL,75.9
2019 AUG,76
2019 SEP,76.2
2019 OCT,76.3
