chapter,i the,family,of
dashwood,had,long,been,settled,insussex
their,estate,was,large,and,their,residence,was,at,norland,park,in
without,having,much,of,her,sense,she,did,not,at,thirteen,bid
fair,to,equal,her,sisters,at,a,more,advanced,period,oflife
chapter,ii,mrs,john,dashwood,now,installed,herself,mistress,of,norland,and
her,mother,and,sisters,in,law,were,degraded,to,the,condition,of
visitors
as,such,however,they,were,treated,by,her,with,quiet,civility,and
by,her,husband,with,as,much,kindness,as,he,could,feel,towards
anybody,beyond,himself,his,wife,and,theirchild
he,really,pressed,them,with,some,earnestness,to,consider,norland,as,their
home,and,as,no,plan,appeared,so,eligible,to,mrs,dashwood,as
remaining,there,till,she,could,accommodate,herself,with,a,house,in,the
neighbourhood,his,invitation,wasaccepted
a,continuance,in,a,place,where,everything,reminded,her,of,former,delight
was,exactly,what,suited,hermind
in,seasons,of,cheerfulness,no,temper,could,be,more,cheerful,than,hers
or,possess,in,a,greater,degree,that,sanguine,expectation,of,happiness,which
is,happinessitself
but,in,sorrow,she,must,be,equally,carried,away,by,her,fancy
and,as,far,beyond,consolation,as,in,pleasure,she,was,beyondalloy
mrs,john,dashwood,did,not,at,all,approve,of,what,her,husband
intended,to,do,for,hissisters
to,take,three,thousand,pounds,from,the,fortune,of,their,dear,little
boy,would,be,impoverishing,him,to,the,most,dreadfuldegree
she,begged,him,to,think,again,on,thesubject
how,could,he,answer,it,to,himself,to,rob,his,child,and
his,only,child,too,of,so,large,asum
and,what,possible,claim,could,the,miss,dashwoods,who,were,related,to
him,only,by,half,blood,which,she,considered,as,no,relationship,at
all,have,on,his,generosity,to,so,large,anamount
it,was,very,well,known,that,no,affection,was,ever,supposed,to
exist,between,the,children,of,any,man,by,different,marriages,and,why
was,he,to,ruin,himself,and,their,poor,little,harry,by,giving
away,all,his,money,to,his,halfsisters
it,was,my,father,s,last,request,to,me,replied,her,husband
that,i,should,assist,his,widow,anddaughters
he,did,not,know,what,he,was,talking,of,i,dare,say
ten,to,one,but,he,was,light,headed,at,thetime
had,he,been,in,his,right,senses,he,could,not,have,thought
of,such,a,thing,as,begging,you,to,give,away,half,your
fortune,from,your,ownchild
he,did,not,stipulate,for,any,particular,sum,my,dear,fanny,he
only,requested,me,in,general,terms,to,assist,them,and,make,their
situation,more,comfortable,than,it,was,in,his,power,todo
perhaps,it,would,have,been,as,well,if,he,had,left,it
wholly,tomyself
he,could,hardly,suppose,i,should,neglectthem
but,as,he,required,the,promise,i,could,not,do,less,than
give,it,at,least,i,thought,so,at,thetime
the,promise,therefore,was,given,and,must,beperformed
something,must,be,done,for,them,whenever,they,leave,norland,and,settle
in,a,newhome
well,then,_let_,something,be,done,for,them,but,_that_,something,need
not,be,three,thousandpounds
consider,she,added,that,when,the,money,is,once,parted,with,it
never,canreturn
your,sisters,will,marry,and,it,will,be,gone,forever
if,indeed,it,could,be,restored,to,our,poor,little,boy,why
to,be,sure,said,her,husband,very,gravely,that,would,make,great
difference
the,time,may,come,when,harry,will,regret,that,so,large,a
sum,was,partedwith
if,he,should,have,a,numerous,family,for,instance,it,would,be
a,very,convenientaddition
to,be,sure,itwould
perhaps,then,it,would,be,better,for,all,parties,if,the,sum
were,diminished,onehalf
five,hundred,pounds,would,be,a,prodigious,increase,to,theirfortunes
oh
beyond,anythinggreat
what,brother,on,earth,would,do,half,so,much,for,his,sisters
even,if,_really_,hissisters
and,as,it,is,only,halfblood
but,you,have,such,a,generousspirit
i,would,not,wish,to,do,any,thing,mean,hereplied
one,had,rather,on,such,occasions,do,too,much,than,toolittle
no,one,at,least,can,think,i,have,not,done,enough,for
them,even,themselves,they,can,hardly,expectmore
there,is,no,knowing,what,_they_,may,expect,said,the,lady,but
we,are,not,to,think,of,their,expectations,the,question,is,what
you,can,afford,todo
certainly,and,i,think,i,may,afford,to,give,them,five,hundred
pounds,apiece
as,it,is,without,any,addition,of,mine,they,will,each,have
about,three,thousand,pounds,on,their,mother,s,death,a,very,comfortable
fortune,for,any,youngwoman
to,be,sure,it,is,and,indeed,it,strikes,me,that,they
can,want,no,addition,atall
they,will,have,ten,thousand,pounds,divided,amongstthem
if,they,marry,they,will,be,sure,of,doing,well,and,if
they,do,not,they,may,all,live,very,comfortably,together,on,the
interest,of,ten,thousandpounds
that,is,very,true,and,therefore,i,do,not,know,whether,upon
the,whole,it,would,not,be,more,advisable,to,do,something,for
their,mother,while,she,lives,rather,than,for,them,something,of,the
annuity,kind,imean
my,sisters,would,feel,the,good,effects,of,it,as,well,as
herself
a,hundred,a,year,would,make,them,all,perfectlycomfortable
his,wife,hesitated,a,little,however,in,giving,her,consent,to,this
plan
to,be,sure,said,she,it,is,better,than,parting,with,fifteen
hundred,pounds,atonce
but,then,if,mrs,dashwood,should,live,fifteen,years,we,shall,be
completely,takenin
fifteenyears
my,dear,fanny,her,life,cannot,be,worth,half,thatpurchase
certainly,not,but,if,you,observe,people,always,live,for,ever,when
there,is,an,annuity,to,be,paid,them,and,she,is,very
stout,and,healthy,and,hardlyforty
an,annuity,is,a,very,serious,business,it,comes,over,and,over
every,year,and,there,is,no,getting,rid,ofit
you,are,not,aware,of,what,you,aredoing
i,have,known,a,great,deal,of,the,trouble,of,annuities,for
my,mother,was,clogged,with,the,payment,of,three,to,old,superannuated
servants,by,my,father,s,will,and,it,is,amazing,how,disagreeable
she,foundit
twice,every,year,these,annuities,were,to,be,paid,and,then,there
was,the,trouble,of,getting,it,to,them,and,then,one,of
them,was,said,to,have,died,and,afterwards,it,turned,out,to
be,no,suchthing
my,mother,was,quite,sick,ofit
her,income,was,not,her,own,she,said,with,such,perpetual,claims
on,it,and,it,was,the,more,unkind,in,my,father,because
otherwise,the,money,would,have,been,entirely,at,my,mother,s,disposal
without,any,restrictionwhatever
it,has,given,me,such,an,abhorrence,of,annuities,that,i,am
sure,i,would,not,pin,myself,down,to,the,payment,of,one
for,all,theworld
it,is,certainly,an,unpleasant,thing,replied,mr,dashwood,to,have,those
kind,of,yearly,drains,on,one,sincome
one,s,fortune,as,your,mother,justly,says,is,_not_,one,s
own
to,be,tied,down,to,the,regular,payment,of,such,a,sum
on,every,rent,day,is,by,no,means,desirable,it,takes,away
one,sindependence
undoubtedly,and,after,all,you,have,no,thanks,forit
they,think,themselves,secure,you,do,no,more,than,what,is,expected
and,it,raises,no,gratitude,atall
if,i,were,you,whatever,i,did,should,be,done,at,my
own,discretionentirely
i,would,not,bind,myself,to,allow,them,any,thingyearly
it,may,be,very,inconvenient,some,years,to,spare,a,hundred,or
even,fifty,pounds,from,our,ownexpenses
i,believe,you,are,right,my,love,it,will,be,better,that
there,should,be,no,annuity,in,the,case,whatever,i,may,give
them,occasionally,will,be,of,far,greater,assistance,than,a,yearly,allowance
because,they,would,only,enlarge,their,style,of,living,if,they,felt
sure,of,a,larger,income,and,would,not,be,sixpence,the,richer
for,it,at,the,end,of,theyear
it,will,certainly,be,much,the,bestway
a,present,of,fifty,pounds,now,and,then,will,prevent,their,ever
being,distressed,for,money,and,will,i,think,be,amply,discharging,my
promise,to,myfather
to,be,sure,itwill
indeed,to,say,the,truth,i,am,convinced,within,myself,that,your
father,had,no,idea,of,your,giving,them,any,money,atall
the,assistance,he,thought,of,i,dare,say,was,only,such,as
might,be,reasonably,expected,of,you,for,instance,such,as,looking,out
for,a,comfortable,small,house,for,them,helping,them,to,move,their
things,and,sending,them,presents,of,fish,and,game,and,so,forth
whenever,they,are,inseason
i,ll,lay,my,life,that,he,meant,nothing,farther,indeed,it
would,be,very,strange,and,unreasonable,if,hedid
do,but,consider,my,dear,mr,dashwood,how,excessively,comfortable,your,mother
in,law,and,her,daughters,may,live,on,the,interest,of,seven
thousand,pounds,besides,the,thousand,pounds,belonging,to,each,of,the,girls
which,brings,them,in,fifty,pounds,a,year,a,piece,and,of
course,they,will,pay,their,mother,for,their,board,out,ofit
altogether,they,will,have,five,hundred,a,year,amongst,them,and,what
on,earth,can,four,women,want,for,more,than,that,they,will
live,socheap
their,housekeeping,will,be,nothing,atall
they,will,have,no,carriage,no,horses,and,hardly,any,servants,they
will,keep,no,company,and,can,have,no,expenses,of,anykind
only,conceive,how,comfortable,they,willbe
five,hundred,ayear
i,am,sure,i,cannot,imagine,how,they,will,spend,half,of
it,and,as,to,your,giving,them,more,it,is,quite,absurd
to,think,ofit
they,will,be,much,more,able,to,give,_you_something
upon,my,word,said,mr,dashwood,i,believe,you,are,perfectlyright
my,father,certainly,could,mean,nothing,more,by,his,request,to,me
than,what,yousay
i,clearly,understand,it,now,and,i,will,strictly,fulfil,my,engagement
by,such,acts,of,assistance,and,kindness,to,them,as,you,have
described
when,my,mother,removes,into,another,house,my,services,shall,be,readily
given,to,accommodate,her,as,far,as,ican
some,little,present,of,furniture,too,may,be,acceptablethen
certainly,returned,mrs,johndashwood
but,however,_one_,thing,must,beconsidered
when,your,father,and,mother,moved,to,norland,though,the,furniture,of
stanhill,was,sold,all,the,china,plate,and,linen,was,saved,and
is,now,left,to,yourmother
her,house,will,therefore,be,almost,completely,fitted,up,as,soon,as
she,takesit
that,is,a,material,considerationundoubtedly
a,valuable,legacyindeed
and,yet,some,of,the,plate,would,have,been,a,very,pleasant
addition,to,our,own,stockhere
yes,and,the,set,of,breakfast,china,is,twice,as,handsome,as
what,belongs,to,thishouse
a,great,deal,too,handsome,in,my,opinion,for,any,place,_they_
can,ever,afford,to,livein
but,however,so,itis
your,father,thought,only,of,_them_,and,i,must,say,this,that
you,owe,no,particular,gratitude,to,him,nor,attention,to,his,wishes
for,we,very,well,know,that,if,he,could,he,would,have
left,almost,everything,in,the,world,to,_them,_,this,argument,was
irresistible
it,gave,to,his,intentions,whatever,of,decision,was,wanting,before,and
he,finally,resolved,that,it,would,be,absolutely,unnecessary,if,not,highly
indecorous,to,do,more,for,the,widow,and,children,of,his,father
than,such,kind,of,neighbourly,acts,as,his,own,wife,pointedout
chapter,iii,mrs,dashwood,remained,at,norland,several,months,not,from,any
disinclination,to,move,when,the,sight,of,every,well,known,spot,ceased
to,raise,the,violent,emotion,which,it,produced,for,a,while,for
when,her,spirits,began,to,revive,and,her,mind,became,capable,of
some,other,exertion,than,that,of,heightening,its,affliction,by,melancholy,remembrances
she,was,impatient,to,be,gone,and,indefatigable,in,her,inquiries,for
a,suitable,dwelling,in,the,neighbourhood,of,norland,for,to,remove,far
from,that,beloved,spot,wasimpossible
but,she,could,hear,of,no,situation,that,at,once,answered,her
notions,of,comfort,and,ease,and,suited,the,prudence,of,her,eldest
daughter,whose,steadier,judgment,rejected,several,houses,as,too,large,for,their
income,which,her,mother,would,haveapproved
illustration,_i,cannot,imagine,how,they,will,spend,half,of,it,_
mrs,dashwood,had,been,informed,by,her,husband,of,the,solemn,promise
on,the,part,of,his,son,in,their,favour,which,gave,comfort
to,his,last,earthlyreflections
she,doubted,the,sincerity,of,this,assurance,no,more,than,he,had
doubted,it,himself,and,she,thought,of,it,for,her,daughters,sake
with,satisfaction,though,as,for,herself,she,was,persuaded,that,a,much
smaller,provision,than,7000l,would,support,her,inaffluence
for,their,brother,s,sake,too,for,the,sake,of,his,own
heart,she,rejoiced,and,she,reproached,herself,for,being,unjust,to,his
merit,before,in,believing,him,incapable,ofgenerosity
his,attentive,behaviour,to,herself,and,his,sisters,convinced,her,that,their
welfare,was,dear,to,him,and,for,a,long,time,she,firmly
relied,on,the,liberality,of,hisintentions
the,contempt,which,she,had,very,early,in,their,acquaintance,felt,for
her,daughter,in,law,was,very,much,increased,by,the,farther,knowledge
of,her,character,which,half,a,year,s,residence,in,her,family
afforded,and,perhaps,in,spite,of,every,consideration,of,politeness,or,maternal
affection,on,the,side,of,the,former,the,two,ladies,might,have
found,it,impossible,to,have,lived,together,so,long,had,not,a
particular,circumstance,occurred,to,give,still,greater,eligibility,according,to,the,opinions
of,mrs,dashwood,to,her,daughters,continuance,atnorland
this,circumstance,was,a,growing,attachment,between,her,eldest,girl,and,the
brother,of,mrs,john,dashwood,a,gentlemanlike,and,pleasing,young,man,who
was,introduced,to,their,acquaintance,soon,after,his,sister,s,establishment,at
norland,and,who,had,since,spent,the,greatest,part,of,his,time
there
some,mothers,might,have,encouraged,the,intimacy,from,motives,of,interest,for
edward,ferrars,was,the,eldest,son,of,a,man,who,had,died
very,rich,and,some,might,have,repressed,it,from,motives,of,prudence
for,except,a,trifling,sum,the,whole,of,his,fortune,depended,on
the,will,of,hismother
but,mrs,dashwood,was,alike,uninfluenced,by,eitherconsideration
it,was,enough,for,her,that,he,appeared,to,be,amiable,that
he,loved,her,daughter,and,that,elinor,returned,thepartiality
it,was,contrary,to,every,doctrine,of,her,s,that,difference,of
fortune,should,keep,any,couple,asunder,who,were,attracted,by,resemblance,of
disposition,and,that,elinor,s,merit,should,not,be,acknowledged,by,every
one,who,knew,her,was,to,her,comprehensionimpossible
edward,ferrars,was,not,recommended,to,their,good,opinion,by,any,peculiar
graces,of,person,oraddress
he,was,not,handsome,and,his,manners,required,intimacy,to,make,them
pleasing
he,was,too,diffident,to,do,justice,to,himself,but,when,his
natural,shyness,was,overcome,his,behaviour,gave,every,indication,of,an,open
affectionateheart
his,understanding,was,good,and,his,education,had,given,it,solidimprovement
but,he,was,neither,fitted,by,abilities,nor,disposition,to,answer,the
wishes,of,his,mother,and,sister,who,longed,to,see,him,distinguished
as,they,hardly,knewwhat
they,wanted,him,to,make,a,fine,figure,in,the,world,in
some,manner,orother
his,mother,wished,to,interest,him,in,political,concerns,to,get,him
into,parliament,or,to,see,him,connected,with,some,of,the,great
men,of,theday
mrs,john,dashwood,wished,it,likewise,but,in,the,mean,while,till
one,of,these,superior,blessings,could,be,attained,it,would,have,quieted
her,ambition,to,see,him,driving,abarouche
but,edward,had,no,turn,for,great,men,orbarouches
all,his,wishes,centered,in,domestic,comfort,and,the,quiet,of,private
life
fortunately,he,had,a,younger,brother,who,was,morepromising
edward,had,been,staying,several,weeks,in,the,house,before,he,engaged
much,of,mrs,dashwood,s,attention,for,she,was,at,that,time
in,such,affliction,as,rendered,her,careless,of,surroundingobjects
she,saw,only,that,he,was,quiet,and,unobtrusive,and,she,liked
him,forit
he,did,not,disturb,the,wretchedness,of,her,mind,by,ill,timed
conversation
she,was,first,called,to,observe,and,approve,him,farther,by,a
reflection,which,elinor,chanced,one,day,to,make,on,the,difference,between
him,and,hissister
it,was,a,contrast,which,recommended,him,most,forcibly,to,hermother
it,is,enough,said,she,to,say,that,he,is,unlike,fanny
isenough
it,implies,everythingamiable
i,love,himalready
i,think,you,will,like,him,said,elinor,when,you,know,more
ofhim
likehim
replied,her,mother,with,asmile
i,feel,no,sentiment,of,approbation,inferior,tolove
you,may,esteemhim
i,have,never,yet,known,what,it,was,to,separate,esteem,and
love
mrs,dashwood,now,took,pains,to,get,acquainted,withhim
her,manners,were,attaching,and,soon,banished,hisreserve
she,speedily,comprehended,all,his,merits,the,persuasion,of,his,regard,for
elinor,perhaps,assisted,her,penetration,but,she,really,felt,assured,of,his
worth,and,even,that,quietness,of,manner,which,militated,against,all,her
established,ideas,of,what,a,young,man,s,address,ought,to,be
was,no,longer,uninteresting,when,she,knew,his,heart,to,be,warm
and,his,temperaffectionate
no,sooner,did,she,perceive,any,symptom,of,love,in,his,behaviour
to,elinor,than,she,considered,their,serious,attachment,as,certain,and,looked
forward,to,their,marriage,as,rapidlyapproaching
in,a,few,months,my,dear,marianne,said,she,elinor,will,in
all,probability,be,settled,forlife
we,shall,miss,her,but,_she_,will,behappy
oh
mamma,how,shall,we,do,withouther
my,love,it,will,be,scarcely,aseparation
we,shall,live,within,a,few,miles,of,each,other,and,shall
meet,every,day,of,ourlives
you,will,gain,a,brother,a,real,affectionatebrother
i,have,the,highest,opinion,in,the,world,of,edward,sheart
but,you,look,grave,marianne,do,you,disapprove,your,sister,schoice
perhaps,said,marianne,i,may,consider,it,with,somesurprise
edward,is,very,amiable,and,i,love,himtenderly
but,yet,he,is,not,the,kind,of,young,man,there,is
something,wanting,his,figure,is,not,striking,it,has,none,of,that
grace,which,i,should,expect,in,the,man,who,could,seriously,attach
mysister
his,eyes,want,all,that,spirit,that,fire,which,at,once,announce
virtue,andintelligence
and,besides,all,this,i,am,afraid,mamma,he,has,no,real
taste
music,seems,scarcely,to,attract,him,and,though,he,admires,elinor,s
drawings,very,much,it,is,not,the,admiration,of,a,person,who
can,understand,theirworth
it,is,evident,in,spite,of,his,frequent,attention,to,her,while
she,draws,that,in,fact,he,knows,nothing,of,thematter
he,admires,as,a,lover,not,as,aconnoisseur
to,satisfy,me,those,characters,must,beunited
i,could,not,be,happy,with,a,man,whose,taste,did,not
in,every,point,coincide,with,myown
he,must,enter,into,all,my,feelings,the,same,books,the,same
music,must,charm,usboth
oh
mama,how,spiritless,how,tame,was,edward,s,manner,in,reading,to
us,lastnight
i,felt,for,my,sister,mostseverely
yet,she,bore,it,with,so,much,composure,she,seemed,scarcely,to
noticeit
i,could,hardly,keep,myseat
to,hear,those,beautiful,lines,which,have,frequently,almost,driven,me,wild
pronounced,with,such,impenetrable,calmness,such,dreadfulindifference
he,would,certainly,have,done,more,justice,to,simple,and,elegantprose
i,thought,so,at,the,time,but,you,_would_,give,himcowper
nay,mamma,if,he,is,not,to,be,animated,by,cowper,but
we,must,allow,for,difference,oftaste
elinor,has,not,my,feelings,and,therefore,she,may,overlook,it,and
be,happy,withhim
but,it,would,have,broke,_my_,heart,had,i,loved,him,to
hear,him,read,with,so,littlesensibility
mama,the,more,i,know,of,the,world,the,more,am,i
convinced,that,i,shall,never,see,a,man,whom,i,can,really
love
i,require,somuch
he,must,have,all,edward,s,virtues,and,his,person,and,manners
must,ornament,his,goodness,with,every,possiblecharm
remember,my,love,that,you,are,notseventeen
it,is,yet,too,early,in,life,to,despair,of,such,a
happiness
why,should,you,be,less,fortunate,than,yourmother
in,one,circumstance,only,my,marianne,may,your,destiny,be,different,from
hers
chapter,iv,what,a,pity,it,is,elinor,said,marianne,that,edward
should,have,no,taste,fordrawing
no,taste,fordrawing
replied,elinor,why,should,you,thinkso
he,does,not,draw,himself,indeed,but,he,has,great,pleasure,in
seeing,the,performances,of,other,people,and,i,assure,you,he,is
by,no,means,deficient,in,natural,taste,though,he,has,not,had
opportunities,of,improvingit
had,he,ever,been,in,the,way,of,learning,i,think,he
would,have,drawn,verywell
he,distrusts,his,own,judgment,in,such,matters,so,much,that,he
is,always,unwilling,to,give,his,opinion,on,any,picture,but,he
has,an,innate,propriety,and,simplicity,of,taste,which,in,general,direct
him,perfectlyright
marianne,was,afraid,of,offending,and,said,no,more,on,the,subject
but,the,kind,of,approbation,which,elinor,described,as,excited,in,him
by,the,drawings,of,other,people,was,very,far,from,that,rapturous
delight,which,in,her,opinion,could,alone,be,calledtaste
yet,though,smiling,within,herself,at,the,mistake,she,honoured,her,sister
for,that,blind,partiality,to,edward,which,producedit
i,hope,marianne,continued,elinor,you,do,not,consider,him,as,deficient
in,generaltaste
indeed,i,think,i,may,say,that,you,cannot,for,your,behaviour
to,him,is,perfectly,cordial,and,if,_that_,were,your,opinion,i
am,sure,you,could,never,be,civil,tohim
marianne,hardly,knew,what,tosay
she,would,not,wound,the,feelings,of,her,sister,on,any,account
and,yet,to,say,what,she,did,not,believe,wasimpossible
at,length,she,replied,do,not,be,offended,elinor,if,my,praise
of,him,is,not,in,every,thing,equal,to,your,sense,of
hismerits
i,have,not,had,so,many,opportunities,of,estimating,the,minuter,propensities
of,his,mind,his,inclinations,and,tastes,as,you,have,but,i
have,the,highest,opinion,in,the,world,of,his,goodness,andsense
i,think,him,every,thing,that,is,worthy,andamiable
i,am,sure,replied,elinor,with,a,smile,that,his,dearest,friends
could,not,be,dissatisfied,with,such,commendation,asthat
i,do,not,perceive,how,you,could,express,yourself,morewarmly
marianne,was,rejoiced,to,find,her,sister,so,easilypleased
of,his,sense,and,his,goodness,continued,elinor,no,one,can,i
