Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC,Date_of_Data,Date_Report_Created,Value_inches,Percent_NRCS_1981_2010_Average,Percent_NRCS_1981_2010_Median,Percent_of_POR_Average,Percent_of_POR_Median,Percent_of_Water_Year_Peak,Percent_of_Average_Water_Year_Peak_POR,Percent_of_Median_Water_Year_Peak_POR,POR_Median_Departure_inches,Percentile_POR,Maximum_Rank_POR,Minimum_Rank_POR,Records_POR,NRCS_1981_2010_Average_inches,NRCS_1981_2010_Median_inches,POR_Average_inches,POR_Median_inches,Minimum_POR_inches,Maximum_POR_inches,Year_of_Minimum_POR,Year_of_Maximum_POR,Number_of_Observations_POR
Big Red Mountain,"341	",Oregon,SNOTEL,Jackson,6050,42.05257,-122.85487,"171003090301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.2,0,0,13,"2016, 2018, 2019, more",2004,20
Big Sandy Opening,"342	",Wyoming,SNOTEL,Sublette,9080,42.6458,-109.25965,"140401040101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,31,36,50,4,4,-3.5,16,17,3,,,,6.45,5.5,0,23,2005,2004,20
Big Sheep AM,"1229	",Oregon,SNOLITE,Wallowa,6240,45.16842,-117.08631,"170601020301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.38,0,0,2,"2016, 2017, 2018, more",2013,8
Bigelow Camp,"343	",Oregon,SNOTEL,Josephine,5130,42.07875,-123.34393,"171003090105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,88,3,1,Lowest,,,0.65,0,0,8,"2018, 2019, 2020, more",2008,17
Billie Creek Divide,"344	",Oregon,SNOTEL,Klamath,5280,42.40717,-122.26617,"180102030201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.83,0,0,7,"2016, 2018, 2019, more",2005,18
Bird Creek,"1155	",Nevada,SNOTEL,White Pine,7537,39.46138,-114.64863,"160600081304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,89,2,1,Lowest,,,0.1,0,0,1,"2018, 2019, 2020, more",2014,10
Bison Lake,"345	",Colorado,SNOTEL,Garfield,10880,39.76487,-107.35681,"140100011401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,23,27,20,2,2,-5.5,19,18,4,,,,8.82,7.5,0,24,2016,2002,22
Bisson Creek,"346	",Montana,SNOTEL,Lake,4920,47.68389,-113.99901,"170102120602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,49,,17,3,3,1,56,9,11,,,,2.05,0,0,14,"2015, 2016, 2018, more",2017,19
Black Bear,"347	",Montana,SNOTEL,Gallatin,8170,44.50832,-111.12803,"100200070202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,22,25,60,2,3,-9,4,26,2,2nd Lowest,,,13.48,12,2,30,2016,2004,27
Black Flat-U.M. Ck,"348	",Utah,SNOTEL,Sevier,9414,38.6799,-111.59765,"140700030101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.19,0,0,11,"2017, 2018, 2019, more",2004,21
Black Mesa,"1185	",Colorado,SNOTEL,Dolores,11580,37.78972,-108.18365,"140300020103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,18,33,33,1,1,-2,38,6,4,,,,5.44,3,0,18,"2012, 2016, 2019",2013,9
Black Mountain,"1161	",Colorado,SNOTEL,Larimer,8920,40.888,-105.66397,"101900070501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,118,140,50,14,14,2,70,4,8,,,,5.91,5,2,13,"2010, 2016",2011,11
Black Pine,"349	",Montana,SNOTEL,Granite,7210,46.414,-113.43095,"170102020203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,34,40,11,2,2,-1.5,37,13,8,,,,2.95,2.5,0,10,"2011, 2012, 2016, more",2003,20
Blackhall Mtn,"1119	",Wyoming,SNOTEL,Carbon,9820,41.05616,-106.71384,"101800020504	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,39,45,45,5,5,-6,9,11,2,2nd Lowest,,,12.92,11,2,26,2016,2009,12
Blacks Fork Jct,"1162	",Utah,SNOTEL,Summit,8869,40.95814,-110.5828,"140401070303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,70,4,1,Lowest,,,0.82,0,0,4,"2018, 2019, 2020, more",2013,11
Blacktail Mtn,"1144	",Montana,SNOTEL,Flathead,5650,47.98288,-114.3543,"170102080302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,157,400,44,9,8,3,70,4,8,,,,2.55,1,0,10,"2015, 2016, 2018, more",2017,11
Blackwall Peak,"2G03P	",British Columbia,Cooperator Snow Sensors,"	",6345,49.08333,-120.76667,"170200070205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,9.88,8,2,22,"2002, 2008",2013,17
Blackwater,"350	",Wyoming,SNOTEL,Park,9780,44.37667,-109.79333,"100800120209	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",16,,,93,94,64,17,18,-1,43,9,6,,,,17.2,17,5,39,2014,2017,15
Blazed Alder,"351	",Oregon,SNOTEL,Clackamas,3650,45.4287,-121.85605,"170800010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,78,6,1,Lowest,,,0.88,0,0,6,"2018, 2019, 2020, more","2013, 2017",24
Blewett Pass,"352	",Washington,SNOTEL,Chelan,4240,47.35037,-120.6796,"170200110501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.52,0,0,5,"2017, 2018, 2019, more",2005,21
Blind Bull Sum,"353	",Wyoming,SNOTEL,Sublette,8650,42.964,-110.60973,"140401010402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,24,29,50,2,2,-5,16,17,1,Lowest,,,8.25,7,2,21,"2014, 2018, 2020, more",2017,20
Blind Park,"354	",South Dakota,SNOTEL,Pennington,6890,44.10772,-103.97688,"101201100104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.65,3,0,11,"2014, 2015, 2016, more",2019,17
